,Team,Link,Age,AbroadPlayers,Value,Difference,Year,Country,stadium_capacity,stadium_name,squad_size,top_arrival,top_departure,income_value,expenditure_values,overall_balance
12,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2011,"21,2",6,€11.15m,€310k,2011,Croatia,8.850 Seats,Kranjceviceva,36,€300k,€1.20m,€1.20m,€300k,+€900k
13,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2011,"23,0",6,€10.88m,€311k,2011,Croatia,9.056 Seats,Aldo Drosina,35,€2k,€50k,€50k,€2k,+€48k
14,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2011,"23,0",2,€10.00m,€303k,2011,Croatia,18.856 Seats,Gradski vrt,36,Free transfer,€500k,€800k,0,+€800k
15,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2011,"22,5",8,€9.68m,€269k,2011,Croatia,8.136 Seats,Stadion Rujevica,36,Free transfer,€50k,€50k,0,+€50k
16,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2012,"22,5",11,€48.70m,€1.32m,2012,Croatia,35.123 Seats,Maksimir,37,€2.40m,€11.00m,€20.00m,€4.10m,+€15.90m
17,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2012,"20,5",6,€19.55m,€489k,2012,Croatia,34.183 Seats,Poljud,43,€300k,€3.70m,€7.64m,€400k,+€7.24m
18,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2012,"25,3",6,€14.60m,€562k,2012,Croatia,8.136 Seats,Stadion Rujevica,32,€450k,Free transfer,0,€810k,€-810k
19,RNK Split,/rnk-split/startseite/verein/420/saison_id/2012,"25,9",7,€13.70m,€457k,2012,Croatia,4.000 Seats,Park mladezi,35,€235k,Free transfer,0,€285k,€-285k
20,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2012,"23,2",1,€10.85m,€350k,2012,Croatia,5.000 Seats,Gradski Stadion Ivan Kusek Apas,33,Free transfer,Free transfer,0,0,0
21,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2012,"23,9",2,€9.20m,€329k,2012,Croatia,9.056 Seats,Aldo Drosina,32,Free transfer,€235k,€285k,0,+€285k
22,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2012,"21,1",3,€7.70m,€257k,2012,Croatia,8.850 Seats,Kranjceviceva,31,Free transfer,€2.40m,€3.60m,0,+€3.60m
23,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2012,"21,6",2,€6.91m,€187k,2012,Croatia,18.856 Seats,Gradski vrt,37,Free transfer,€450k,€1.07m,0,+€1.07m
24,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2013,"21,6",17,€43.90m,€770k,2013,Croatia,35.123 Seats,Maksimir,58,€1.60m,€5.00m,€15.78m,€4.32m,+€11.46m
25,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2013,"23,3",8,€22.13m,€452k,2013,Croatia,8.136 Seats,Stadion Rujevica,50,€1.20m,€1.00m,€1.45m,€1.77m,€-320k
26,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2013,"20,1",12,€16.25m,€319k,2013,Croatia,34.183 Seats,Poljud,51,Free transfer,€1.00m,€1.22m,0,+€1.22m
