,Team,Link,Age,AbroadPlayers,Value,Difference,Year,Country,stadium_capacity,stadium_name,squad_size,top_arrival,top_departure,income_value,expenditure_values,overall_balance
126,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2013,"24,4",11,€10.43m,€298k,2013,Czech Republic,18.221 Seats,AGC Aréna,35,€200k,Free transfer,0,€200k,€-200k
127,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2013,"24,7",7,€8.33m,€245k,2013,Czech Republic,9.100 Seats,Stadion Na Litavce,34,Free transfer,Free transfer,0,0,0
128,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2013,"24,6",4,€7.45m,€219k,2013,Czech Republic,8.000 Seats,Městský fotbalový stadion Miroslava Valenty,36,Free transfer,?,0,0,0
129,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2013,"22,8",9,€7.13m,€162k,2013,Czech Republic,15.123 Seats,Městský stadion,44,€250k,€20k,€20k,€250k,€-230k
130,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2014,"25,3",8,€34.10m,€1.03m,2014,Czech Republic,18.944 Seats,Generali Arena,39,€100k,€2.00m,€3.00m,€100k,+€2.90m
131,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2014,"27,0",6,€25.78m,€955k,2014,Czech Republic,11.700 Seats,Doosan Aréna,33,€700k,Free transfer,0,€1.35m,€-1.35m
132,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2014,"24,7",6,€13.13m,€423k,2014,Czech Republic,6.108 Seats,Střelnice,31,Free transfer,Free transfer,0,0,0
133,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2014,"24,2",13,€12.28m,€323k,2014,Czech Republic,5.000 Seats,Lokotrans Arena,38,Free transfer,Free transfer,0,0,0
134,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2014,"23,8",18,€12.20m,€330k,2014,Czech Republic,9.900 Seats,Stadion U Nisy,39,Free transfer,Free transfer,0,0,0
135,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2014,"23,8",11,€11.05m,€345k,2014,Czech Republic,20.617 Seats,Sinobo Stadium,39,Free transfer,€550k,€550k,0,+€550k
136,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2014,"24,4",9,€9.73m,€304k,2014,Czech Republic,18.221 Seats,AGC Aréna,33,Free transfer,€400k,€400k,0,+€400k
137,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2014,"25,5",7,€8.55m,€204k,2014,Czech Republic,9.100 Seats,Stadion Na Litavce,43,Free transfer,Free transfer,0,0,0
138,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2014,"22,6",10,€7.33m,€209k,2014,Czech Republic,15.123 Seats,Městský stadion,37,Free transfer,€800k,€800k,0,+€800k
139,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2014,"23,3",6,€5.70m,€158k,2014,Czech Republic,8.000 Seats,Městský fotbalový stadion Miroslava Valenty,36,Free transfer,Free transfer,0,0,0
140,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2015,"25,4",7,€32.73m,€935k,2015,Czech Republic,18.944 Seats,Generali Arena,47,€500k,€3.50m,€4.10m,€1.25m,+€2.85m
141,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2015,"26,8",5,€24.75m,€798k,2015,Czech Republic,11.700 Seats,Doosan Aréna,34,Free transfer,Free transfer,0,0,0
142,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2015,"23,8",6,€13.80m,€383k,2015,Czech Republic,20.617 Seats,Sinobo Stadium,36,€1.00m,Free transfer,0,€3.60m,€-3.60m
143,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2015,"24,5",7,€13.60m,€358k,2015,Czech Republic,5.000 Seats,Lokotrans Arena,38,Free transfer,€1.70m,€2.50m,0,+€2.50m
144,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2015,"23,2",13,€12.85m,€338k,2015,Czech Republic,9.900 Seats,Stadion U Nisy,42,Free transfer,€1.50m,€1.50m,0,+€1.50m
145,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2015,"24,3",6,€12.70m,€454k,2015,Czech Republic,6.108 Seats,Střelnice,28,Free transfer,€140k,€140k,0,+€140k
146,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2015,"24,9",13,€9.38m,€260k,2015,Czech Republic,18.221 Seats,AGC Aréna,36,€75k,Free transfer,0,€75k,€-75k
147,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2015,"23,2",4,€7.20m,€189k,2015,Czech Republic,9.100 Seats,Stadion Na Litavce,38,Free transfer,€400k,€400k,0,+€400k
148,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2015,"21,6",11,€6.70m,€152k,2015,Czech Republic,15.123 Seats,Městský stadion,44,Free transfer,€400k,€900k,0,+€900k
149,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2015,"23,7",7,€5.40m,€169k,2015,Czech Republic,8.000 Seats,Městský fotbalový stadion Miroslava Valenty,32,Free transfer,Free transfer,0,0,0
150,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2010,"23,7",15,€30.13m,€861k,2010,Poland,30.967 Seats,Stadion Miejski im. Marszałka Józefa Piłsudskiego,35,€800k,€250k,€620k,€2.72m,€-2.10m
151,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2010,"25,1",18,€30.00m,€789k,2010,Poland,33.130 Seats,Stadion Miejski im. Henryka Reymana,38,€675k,€3.80m,€8.33m,€2.21m,+€6.12m
152,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2010,"24,4",11,€26.53m,€780k,2010,Poland,42.837 Seats,Stadion Poznań,34,€1.00m,€4.75m,€5.33m,€2.98m,+€2.35m
153,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2010,"25,5",8,€14.53m,€427k,2010,Poland,15.500 Seats,Suzuki Arena,34,€150k,€250k,€425k,€285k,+€140k
154,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2010,"25,6",6,€12.58m,€419k,2010,Poland,42.771 Seats,Stadion Miejski,30,€275k,€75k,€75k,€380k,€-305k
155,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2010,"26,3",5,€11.65m,€364k,2010,Poland,10.000 Seats,Stadion Ruchu Chorzów (przy Cichej),32,€25k,€1.00m,€1.69m,€50k,+€1.64m
156,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2010,"23,3",13,€9.28m,€273k,2010,Poland,22.432 Seats,Stadion Miejski,34,€350k,€900k,€1.28m,€783k,+€498k
157,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2010,"24,4",10,€8.75m,€313k,2010,Poland,43.615 Seats,Stadion Energa Gdańsk,28,€215k,€140k,€330k,€590k,€-260k
158,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2010,"24,1",4,€7.05m,€227k,2010,Poland,24.563 Seats,Arena Zabrze,31,€125k,€13k,€20k,€605k,€-585k
159,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2011,"24,2",15,€31.45m,€850k,2011,Poland,30.967 Seats,Stadion Miejski im. Marszałka Józefa Piłsudskiego,37,€50k,€3.20m,€6.11m,€50k,+€6.06m
160,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2011,"24,0",11,€26.03m,€929k,2011,Poland,42.837 Seats,Stadion Poznań,29,€350k,€200k,€370k,€350k,+€20k
161,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2011,"25,2",16,€22.35m,€798k,2011,Poland,33.130 Seats,Stadion Miejski im. Henryka Reymana,31,€650k,€80k,€115k,€1.10m,€-985k
162,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2011,"25,7",8,€14.13m,€456k,2011,Poland,42.771 Seats,Stadion Miejski,31,€300k,Free transfer,0,€800k,€-800k
163,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2011,"23,6",14,€12.93m,€359k,2011,Poland,22.432 Seats,Stadion Miejski,37,€280k,€1.90m,€2.19m,€650k,+€1.54m
164,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2011,"24,0",12,€11.20m,€329k,2011,Poland,43.615 Seats,Stadion Energa Gdańsk,34,€70k,€20k,€20k,€270k,€-250k
165,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2011,"24,3",6,€10.40m,€297k,2011,Poland,15.500 Seats,Suzuki Arena,36,€25k,€120k,€120k,€45k,+€75k
166,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2011,"26,0",6,€9.05m,€312k,2011,Poland,10.000 Seats,Stadion Ruchu Chorzów (przy Cichej),29,€25k,€10k,€10k,€58k,€-48k
167,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2011,"24,8",7,€9.00m,€257k,2011,Poland,24.563 Seats,Arena Zabrze,35,€80k,€600k,€1.13m,€390k,+€740k
168,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2012,"25,0",13,€20.23m,€632k,2012,Poland,33.130 Seats,Stadion Miejski im. Henryka Reymana,33,€40k,€800k,€1.80m,€42k,+€1.76m
169,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2012,"24,6",9,€20.20m,€594k,2012,Poland,42.771 Seats,Stadion Miejski,34,Free transfer,Free transfer,0,0,0
170,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2012,"24,2",7,€19.30m,€772k,2012,Poland,30.967 Seats,Stadion Miejski im. Marszałka Józefa Piłsudskiego,33,€100k,€2.70m,€2.70m,€210k,+€2.49m
171,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2012,"24,2",10,€15.63m,€504k,2012,Poland,42.837 Seats,Stadion Poznań,33,€410k,€3.50m,€4.13m,€945k,+€3.18m
172,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2012,"25,3",3,€11.68m,€377k,2012,Poland,24.563 Seats,Arena Zabrze,33,€260k,€2.60m,€2.66m,€305k,+€2.36m
173,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2012,"25,2",6,€10.68m,€334k,2012,Poland,10.000 Seats,Stadion Ruchu Chorzów (przy Cichej),34,€325k,€350k,€375k,€460k,€-85k
174,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2012,"22,7",9,€9.53m,€238k,2012,Poland,43.615 Seats,Stadion Energa Gdańsk,41,€100k,€500k,€500k,€110k,+€390k
175,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2012,"24,4",8,€9.43m,€248k,2012,Poland,15.500 Seats,Suzuki Arena,38,€10k,€13k,€13k,€13k,0
176,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2012,"22,6",8,€9.30m,€266k,2012,Poland,22.432 Seats,Stadion Miejski,36,€200k,€1.00m,€1.60m,€260k,+€1.34m
177,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2013,"23,4",13,€24.05m,€587k,2013,Poland,30.967 Seats,Stadion Miejski im. Marszałka Józefa Piłsudskiego,42,€500k,€2.65m,€5.33m,€1.64m,+€3.69m
178,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2013,"23,7",11,€17.05m,€501k,2013,Poland,42.837 Seats,Stadion Poznań,34,€100k,€3.20m,€3.43m,€100k,+€3.33m
179,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2013,"24,7",14,€15.03m,€417k,2013,Poland,42.771 Seats,Stadion Miejski,36,€26k,€1.00m,€1.00m,€26k,+€974k
180,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2013,"24,7",8,€13.30m,€302k,2013,Poland,24.563 Seats,Arena Zabrze,44,Free transfer,€890k,€1.39m,0,+€1.39m
181,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2013,"22,5",10,€11.83m,€311k,2013,Poland,33.130 Seats,Stadion Miejski im. Henryka Reymana,38,Free transfer,€150k,€180k,0,+€180k
182,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2013,"21,9",11,€10.78m,€251k,2013,Poland,22.432 Seats,Stadion Miejski,43,€50k,€500k,€580k,€50k,+€530k
183,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2013,"23,9",10,€10.45m,€249k,2013,Poland,15.500 Seats,Suzuki Arena,43,€100k,€50k,€55k,€115k,€-60k
184,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2013,"22,8",7,€9.88m,€253k,2013,Poland,43.615 Seats,Stadion Energa Gdańsk,39,€200k,€400k,€755k,€230k,+€525k
185,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2013,"23,4",2,€7.23m,€190k,2013,Poland,10.000 Seats,Stadion Ruchu Chorzów (przy Cichej),38,€15k,Free transfer,0,€25k,€-25k
186,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2014,"24,1",11,€23.55m,€604k,2014,Poland,30.967 Seats,Stadion Miejski im. Marszałka Józefa Piłsudskiego,39,€800k,€2.25m,€5.18m,€1.61m,+€3.57m
187,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2014,"23,3",15,€17.20m,€521k,2014,Poland,42.837 Seats,Stadion Poznań,33,€600k,€4.00m,€4.00m,€1.60m,+€2.40m
188,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2014,"22,7",15,€17.20m,€430k,2014,Poland,43.615 Seats,Stadion Energa Gdańsk,40,€800k,€2.50m,€2.58m,€2.90m,€-320k
189,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2014,"23,5",9,€11.40m,€356k,2014,Poland,33.130 Seats,Stadion Miejski im. Henryka Reymana,32,€75k,€1.40m,€1.40m,€75k,+€1.33m
190,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2014,"24,7",14,€11.30m,€323k,2014,Poland,15.500 Seats,Suzuki Arena,35,Free transfer,€2k,€2k,0,+€2k
191,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2014,"24,8",11,€11.23m,€362k,2014,Poland,42.771 Seats,Stadion Miejski,31,€5k,€370k,€370k,€7k,+€364k
192,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2014,"25,0",7,€9.48m,€263k,2014,Poland,24.563 Seats,Arena Zabrze,36,€10k,€500k,€500k,€10k,+€490k
193,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2014,"21,4",7,€8.55m,€199k,2014,Poland,22.432 Seats,Stadion Miejski,43,€75k,€700k,€950k,€125k,+€825k
194,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2014,"24,9",5,€8.35m,€246k,2014,Poland,10.000 Seats,Stadion Ruchu Chorzów (przy Cichej),34,€200k,€300k,€500k,€225k,+€275k
195,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2015,"25,4",11,€32.45m,€901k,2015,Poland,30.967 Seats,Stadion Miejski im. Marszałka Józefa Piłsudskiego,36,€800k,€1.50m,€2.75m,€2.93m,€-175k
196,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2015,"24,2",14,€23.90m,€683k,2015,Poland,42.837 Seats,Stadion Poznań,35,€500k,€200k,€210k,€1.70m,€-1.49m
197,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2015,"24,0",14,€18.08m,€489k,2015,Poland,43.615 Seats,Stadion Energa Gdańsk,37,€500k,€800k,€1.10m,€910k,+€190k
198,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2015,"22,2",8,€13.40m,€327k,2015,Poland,22.432 Seats,Stadion Miejski,41,€250k,€1.00m,€2.70m,€693k,+€2.01m
199,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2015,"24,1",9,€12.08m,€335k,2015,Poland,33.130 Seats,Stadion Miejski im. Henryka Reymana,36,€400k,€75k,€110k,€475k,€-365k
200,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2015,"24,7",11,€11.18m,€360k,2015,Poland,42.771 Seats,Stadion Miejski,31,Free transfer,€300k,€400k,0,+€400k
201,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2015,"25,8",10,€7.70m,€188k,2015,Poland,24.563 Seats,Arena Zabrze,41,Free transfer,Free transfer,0,0,0
202,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2015,"23,5",11,€6.40m,€149k,2015,Poland,15.500 Seats,Suzuki Arena,43,Free transfer,€13k,€13k,0,+€13k
203,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2015,"24,5",3,€5.05m,€163k,2015,Poland,10.000 Seats,Stadion Ruchu Chorzów (przy Cichej),31,€100k,€500k,€500k,€100k,+€400k
204,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2010,"25,8",27,€19.45m,€442k,2010,Cyprus,10.230 Seats,Antonis Papadopoulos,44,€180k,€50k,€50k,€480k,€-430k
205,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2010,"26,2",16,€18.50m,€638k,2010,Cyprus,22.859 Seats,GSP Stadium,29,Free transfer,Free transfer,0,0,0
206,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2010,"25,7",24,€15.08m,€377k,2010,Cyprus,13.331 Seats,Tsirion Stadion,42,Free transfer,€50k,€50k,0,+€50k
207,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2010,"27,6",15,€14.28m,€510k,2010,Cyprus,22.859 Seats,GSP Stadium,28,€700k,Free transfer,0,€873k,€-873k
208,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2010,"27,2",19,€13.18m,€454k,2010,Cyprus,8.000 Seats,AEK Arena - Georgios Karapatakis,30,Free transfer,Free transfer,0,0,0
209,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2010,"25,5",18,€9.43m,€314k,2010,Cyprus,13.331 Seats,Tsirion Stadion,31,€250k,€800k,€870k,€250k,+€620k
210,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2010,"27,3",21,€6.15m,€192k,2010,Cyprus,7.000 Seats,Stadio Ethnikos Achnas (Dasaki),33,Free transfer,Free transfer,0,0,0
211,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2011,"29,0",18,€18.95m,€677k,2011,Cyprus,22.859 Seats,GSP Stadium,31,€250k,€300k,€300k,€340k,€-40k
212,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2011,"26,9",22,€18.85m,€539k,2011,Cyprus,10.230 Seats,Antonis Papadopoulos,37,€300k,Free transfer,0,€450k,€-450k
213,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2011,"26,7",20,€17.40m,€580k,2011,Cyprus,22.859 Seats,GSP Stadium,30,€230k,Free transfer,0,€380k,€-380k
214,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2011,"26,1",20,€14.90m,€514k,2011,Cyprus,8.000 Seats,AEK Arena - Georgios Karapatakis,33,Free transfer,€320k,€320k,0,+€320k
215,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2011,"25,9",20,€11.35m,€405k,2011,Cyprus,13.331 Seats,Tsirion Stadion,30,€100k,Free transfer,0,€170k,€-170k
216,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2011,"27,1",21,€9.20m,€329k,2011,Cyprus,13.331 Seats,Tsirion Stadion,36,Free transfer,Free transfer,0,0,0
217,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2011,"27,5",23,€8.40m,€255k,2011,Cyprus,7.000 Seats,Stadio Ethnikos Achnas (Dasaki),35,Free transfer,Free transfer,0,0,0
218,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2012,"28,9",19,€23.40m,€807k,2012,Cyprus,22.859 Seats,GSP Stadium,30,€235k,€2.20m,€3.20m,€235k,+€2.97m
219,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2012,"26,8",21,€16.45m,€514k,2012,Cyprus,10.230 Seats,Antonis Papadopoulos,32,€275k,€300k,€300k,€625k,€-325k
220,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2012,"25,6",19,€15.95m,€532k,2012,Cyprus,22.859 Seats,GSP Stadium,31,Free transfer,€275k,€275k,0,+€275k
221,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2012,"26,8",21,€13.98m,€466k,2012,Cyprus,8.000 Seats,AEK Arena - Georgios Karapatakis,31,€15k,€225k,€225k,€15k,+€210k
222,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2012,"26,2",21,€12.20m,€407k,2012,Cyprus,13.331 Seats,Tsirion Stadion,30,Free transfer,Free transfer,0,0,0
223,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2012,"25,1",18,€12.08m,€345k,2012,Cyprus,13.331 Seats,Tsirion Stadion,38,Free transfer,Free transfer,0,0,0
224,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2012,"27,0",22,€7.30m,€228k,2012,Cyprus,7.000 Seats,Stadio Ethnikos Achnas (Dasaki),32,Free transfer,Free transfer,0,0,0
225,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2013,"26,8",21,€20.75m,€576k,2013,Cyprus,22.859 Seats,GSP Stadium,36,€225k,Free transfer,0,€415k,€-415k
226,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2013,"25,7",25,€13.40m,€432k,2013,Cyprus,13.331 Seats,Tsirion Stadion,32,Free transfer,€500k,€1.20m,0,+€1.20m
227,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2013,"25,7",19,€13.15m,€376k,2013,Cyprus,10.230 Seats,Antonis Papadopoulos,36,€20k,€1.70m,€1.70m,€20k,+€1.68m
228,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2013,"25,7",20,€11.00m,€355k,2013,Cyprus,13.331 Seats,Tsirion Stadion,31,€500k,Free transfer,0,€500k,€-500k
229,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2013,"24,1",21,€10.50m,€269k,2013,Cyprus,8.000 Seats,AEK Arena - Georgios Karapatakis,40,Free transfer,Free transfer,0,0,0
230,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2013,"23,7",21,€10.38m,€259k,2013,Cyprus,22.859 Seats,GSP Stadium,41,Free transfer,€200k,€200k,0,+€200k
231,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2013,"26,0",19,€5.80m,€176k,2013,Cyprus,7.000 Seats,Stadio Ethnikos Achnas (Dasaki),36,Free transfer,Free transfer,0,0,0
232,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2014,"26,1",17,€19.85m,€567k,2014,Cyprus,22.859 Seats,GSP Stadium,36,€500k,Free transfer,0,€575k,€-575k
233,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2014,"26,0",23,€14.75m,€434k,2014,Cyprus,13.331 Seats,Tsirion Stadion,35,€2.50m,€1.90m,€1.90m,€2.90m,€-1.00m
234,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2014,"25,0",21,€13.20m,€347k,2014,Cyprus,22.859 Seats,GSP Stadium,39,Free transfer,Free transfer,0,0,0
235,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2014,"23,6",16,€12.00m,€400k,2014,Cyprus,10.230 Seats,Antonis Papadopoulos,30,Free transfer,Free transfer,0,0,0
236,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2014,"25,5",24,€10.80m,€348k,2014,Cyprus,13.331 Seats,Tsirion Stadion,39,Free transfer,Free transfer,0,0,0
237,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2014,"24,8",17,€7.38m,€205k,2014,Cyprus,8.000 Seats,AEK Arena - Georgios Karapatakis,36,Free transfer,Free transfer,0,0,0
238,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2014,"25,0",20,€3.15m,€98k,2014,Cyprus,7.000 Seats,Stadio Ethnikos Achnas (Dasaki),36,Free transfer,Free transfer,0,0,0
239,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2015,"25,7",18,€19.63m,€503k,2015,Cyprus,22.859 Seats,GSP Stadium,39,€120k,Free transfer,0,€120k,€-120k
240,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2015,"25,8",24,€16.35m,€430k,2015,Cyprus,22.859 Seats,GSP Stadium,38,€200k,Free transfer,0,€200k,€-200k
241,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2015,"24,7",20,€16.28m,€452k,2015,Cyprus,13.331 Seats,Tsirion Stadion,36,€2.00m,€6.60m,€6.60m,€2.00m,+€4.60m
242,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2015,"24,1",19,€13.33m,€444k,2015,Cyprus,10.230 Seats,Antonis Papadopoulos,30,€200k,€350k,€500k,€400k,+€100k
243,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2015,"25,5",19,€10.23m,€310k,2015,Cyprus,8.000 Seats,AEK Arena - Georgios Karapatakis,33,Free transfer,€120k,€120k,0,+€120k
244,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2015,"24,5",21,€8.03m,€229k,2015,Cyprus,13.331 Seats,Tsirion Stadion,35,€45k,€75k,€75k,€45k,+€30k
245,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2015,"25,9",20,€3.98m,€137k,2015,Cyprus,7.000 Seats,Stadio Ethnikos Achnas (Dasaki),29,Free transfer,Free transfer,0,0,0
246,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2010,"22,4",9,€13.98m,€358k,2010,Belarus,13.126 Seats,Borisov-Arena,40,€150k,€300k,€590k,€585k,+€5k
247,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2010,"21,9",11,€11.30m,€231k,2010,Belarus,22.246 Seats,Dinamo,49,€95k,€390k,€1.12m,€215k,+€900k
248,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2010,"25,4",12,€7.20m,€180k,2010,Belarus,3.709 Seats,Spartak,40,€25k,€20k,€20k,€25k,€-5k
249,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2010,"24,9",5,€6.33m,€181k,2010,Belarus,3.000 Seats,Stadion FK Minsk,35,Free transfer,Free transfer,0,0,0
250,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2010,"24,7",5,€5.33m,€157k,2010,Belarus,4.522 Seats,Atlant,34,€75k,€100k,€190k,€100k,+€90k
251,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2010,"24,7",8,€5.15m,€147k,2010,Belarus,8.479 Seats,"Tsentralny Sportivny Komplex ""Neman""",35,€50k,Free transfer,0,€50k,€-50k
252,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2010,"25,4",4,€5.10m,€176k,2010,Belarus,4.200 Seats,Stroitel,29,€100k,€50k,€50k,€100k,€-50k
253,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2010,"24,6",9,€5.03m,€136k,2010,Belarus,6.524 Seats,Torpedo,37,Free transfer,Free transfer,0,0,0
