|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
88|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2012|20,1|3|€10.40m|€248k|2012|Serbia
89|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2012|23,0|3|€8.45m|€313k|2012|Serbia
90|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2013|23,0|8|€34.85m|€792k|2013|Serbia
91|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2013|23,3|10|€28.45m|€749k|2013|Serbia
92|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2013|21,9|16|€17.68m|€347k|2013|Serbia
93|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2013|21,4|9|€12.90m|€258k|2013|Serbia
94|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2013|22,3|6|€7.65m|€207k|2013|Serbia
95|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2014|23,3|8|€24.70m|€633k|2014|Serbia
96|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2014|23,3|7|€19.95m|€525k|2014|Serbia
97|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2014|21,9|8|€8.15m|€220k|2014|Serbia
98|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2014|22,4|7|€7.35m|€216k|2014|Serbia
99|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2014|21,7|3|€5.35m|€162k|2014|Serbia
100|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2015|23,0|12|€26.50m|€589k|2015|Serbia
101|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2015|24,2|15|€25.43m|€687k|2015|Serbia
102|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2015|23,6|7|€12.85m|€313k|2015|Serbia
103|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2015|23,0|5|€8.35m|€220k|2015|Serbia
104|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2015|24,4|2|€7.93m|€203k|2015|Serbia
105|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2016|24,0|14|€33.18m|€754k|2016|Serbia
106|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2016|23,5|12|€24.78m|€506k|2016|Serbia
107|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2016|22,7|11|€11.98m|€249k|2016|Serbia
108|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2016|24,2|6|€7.98m|€190k|2016|Serbia
109|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2016|22,7|9|€7.08m|€161k|2016|Serbia
110|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2017|24,0|10|€31.60m|€735k|2017|Serbia
111|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2017|24,4|11|€25.05m|€677k|2017|Serbia
112|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2017|22,1|15|€12.43m|€254k|2017|Serbia
113|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2017|23,7|9|€9.40m|€235k|2017|Serbia
114|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2017|21,2|8|€5.58m|€139k|2017|Serbia
115|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2018|24,3|16|€46.93m|€998k|2018|Serbia
116|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2018|23,4|10|€25.53m|€543k|2018|Serbia
117|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2018|21,5|10|€9.95m|€221k|2018|Serbia
118|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2018|24,0|6|€8.10m|€184k|2018|Serbia
119|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2018|22,4|9|€6.58m|€146k|2018|Serbia
120|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2009|26,5|20|€40.35m|€1.26m|2009|Austria
121|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2009|24,2|7|€22.03m|€759k|2009|Austria
122|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2009|24,1|9|€21.25m|€708k|2009|Austria
123|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2009|23,9|7|€16.00m|€516k|2009|Austria
124|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2010|24,3|23|€47.83m|€1.37m|2010|Austria
125|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2010|24,2|8|€26.23m|€846k|2010|Austria
126|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2010|24,1|9|€23.58m|€813k|2010|Austria
127|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2010|25,6|7|€12.88m|€477k|2010|Austria
128|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2011|24,7|22|€36.28m|€1.10m|2011|Austria
129|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2011|23,6|7|€22.00m|€710k|2011|Austria
130|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2011|25,0|6|€16.53m|€636k|2011|Austria
