|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
0|35.123 Seats|Maksimir|34|Ä400k|Ä8.00m|Ä9.56m|Ä650k|+Ä8.91m
1|34.183 Seats|Poljud|41|Ä2.00m|Ä7.00m|Ä9.65m|Ä3.68m|+Ä5.97m
2|8.136 Seats|Stadion Rujevica|34|Ä200k|Ä2.00m|Ä2.80m|Ä200k|+Ä2.60m
3|5.000 Seats|Gradski Stadion Ivan Kusek Apas|30|Ä50k|Ä2.00m|Ä2.30m|Ä50k|+Ä2.25m
4|18.856 Seats|Gradski vrt|30|Free transfer|Ä500k|Ä500k|0|+Ä500k
5|9.056 Seats|Aldo Drosina|26|Free transfer|Free transfer|0|0|0
6|8.850 Seats|Kranjceviceva|34|Ä300k|Free transfer|0|Ä500k|Ä-500k
7|35.123 Seats|Maksimir|38|Ä1.50m|Ä7.00m|Ä8.01m|Ä3.80m|+Ä4.21m
8|34.183 Seats|Poljud|34|Ä150k|Ä5.00m|Ä9.64m|Ä150k|+Ä9.49m
9|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Ä385k|Ä385k|0|+Ä385k
10|18.856 Seats|Gradski vrt|33|Free transfer|Ä2.40m|Ä2.40m|0|+Ä2.40m
11|8.136 Seats|Stadion Rujevica|32|Ä100k|Ä725k|Ä1.70m|Ä150k|+Ä1.55m
12|9.056 Seats|Aldo Drosina|37|Free transfer|Free transfer|0|0|0
13|8.850 Seats|Kranjceviceva|36|Ä50k|Free transfer|0|Ä50k|Ä-50k
14|35.123 Seats|Maksimir|35|Ä1.45m|Ä300k|Ä420k|Ä4.75m|Ä-4.33m
15|34.183 Seats|Poljud|49|Ä250k|Ä1.00m|Ä2.65m|Ä500k|+Ä2.15m
16|5.000 Seats|Gradski Stadion Ivan Kusek Apas|31|Ä15k|Ä75k|Ä135k|Ä15k|+Ä120k
17|8.850 Seats|Kranjceviceva|36|Ä300k|Ä1.20m|Ä1.20m|Ä300k|+Ä900k
18|9.056 Seats|Aldo Drosina|35|Ä2k|Ä50k|Ä50k|Ä2k|+Ä48k
19|18.856 Seats|Gradski vrt|36|Free transfer|Ä500k|Ä800k|0|+Ä800k
20|8.136 Seats|Stadion Rujevica|36|Free transfer|Ä50k|Ä50k|0|+Ä50k
21|35.123 Seats|Maksimir|37|Ä2.40m|Ä11.00m|Ä20.00m|Ä4.10m|+Ä15.90m
22|34.183 Seats|Poljud|43|Ä300k|Ä3.70m|Ä7.64m|Ä400k|+Ä7.24m
23|8.136 Seats|Stadion Rujevica|32|Ä450k|Free transfer|0|Ä810k|Ä-810k
24|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Free transfer|0|0|0
25|9.056 Seats|Aldo Drosina|32|Free transfer|Ä235k|Ä285k|0|+Ä285k
26|8.850 Seats|Kranjceviceva|31|Free transfer|Ä2.40m|Ä3.60m|0|+Ä3.60m
27|18.856 Seats|Gradski vrt|37|Free transfer|Ä450k|Ä1.07m|0|+Ä1.07m
28|35.123 Seats|Maksimir|58|Ä1.60m|Ä5.00m|Ä15.78m|Ä4.32m|+Ä11.46m
29|8.136 Seats|Stadion Rujevica|50|Ä1.20m|Ä1.00m|Ä1.45m|Ä1.77m|Ä-320k
30|34.183 Seats|Poljud|51|Free transfer|Ä1.00m|Ä1.22m|0|+Ä1.22m
31|5.000 Seats|Gradski Stadion Ivan Kusek Apas|32|Free transfer|Ä1.50m|Ä2.10m|0|+Ä2.10m
32|8.850 Seats|Kranjceviceva|42|Free transfer|Ä1.00m|Ä1.00m|0|+Ä1.00m
33|9.056 Seats|Aldo Drosina|47|Free transfer|Ä350k|Ä1.02m|0|+Ä1.02m
34|18.856 Seats|Gradski vrt|36|Free transfer|Ä190k|Ä190k|0|+Ä190k
35|35.123 Seats|Maksimir|41|Ä2.50m|Ä5.00m|Ä9.93m|Ä9.05m|+Ä880k
36|8.136 Seats|Stadion Rujevica|45|Ä550k|Ä9.00m|Ä9.50m|Ä1.85m|+Ä7.65m
37|34.183 Seats|Poljud|43|Free transfer|Ä2.50m|Ä6.09m|0|+Ä6.09m
38|8.850 Seats|Kranjceviceva|40|Free transfer|Ä1.00m|Ä2.28m|0|+Ä2.28m
39|9.056 Seats|Aldo Drosina|49|Free transfer|Ä230k|Ä340k|0|+Ä340k
40|5.000 Seats|Gradski Stadion Ivan Kusek Apas|36|Free transfer|Ä350k|Ä850k|0|+Ä850k
41|18.856 Seats|Gradski vrt|43|Free transfer|Ä250k|Ä250k|0|+Ä250k
42|35.123 Seats|Maksimir|49|Ä5.00m|Ä7.50m|Ä13.90m|Ä9.30m|+Ä4.61m
43|8.136 Seats|Stadion Rujevica|42|Ä600k|Ä2.60m|Ä6.95m|Ä1.22m|+Ä5.74m
44|34.183 Seats|Poljud|39|Free transfer|Ä3.00m|Ä6.00m|0|+Ä6.00m
45|8.850 Seats|Kranjceviceva|44|Ä65k|Free transfer|0|Ä130k|Ä-130k
46|9.056 Seats|Aldo Drosina|41|Free transfer|Free transfer|0|0|0
47|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Ä400k|Ä750k|0|+Ä750k
48|18.856 Seats|Gradski vrt|38|Free transfer|Ä150k|Ä150k|0|+Ä150k
49|35.123 Seats|Maksimir|49|Ä1.60m|Ä23.00m|Ä41.15m|Ä5.46m|+Ä35.69m
50|8.136 Seats|Stadion Rujevica|45|Ä150k|Ä4.20m|Ä15.10m|Ä150k|+Ä14.95m
51|34.183 Seats|Poljud|42|Ä375k|Ä3.00m|Ä8.40m|Ä607k|+Ä7.79m
52|8.850 Seats|Kranjceviceva|57|Ä200k|Ä600k|Ä1.30m|Ä200k|+Ä1.10m
53|18.856 Seats|Gradski vrt|40|Ä400k|Ä50k|Ä50k|Ä610k|Ä-560k
54|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Ä700k|Ä1.58m|0|+Ä1.58m
55|9.056 Seats|Aldo Drosina|39|Free transfer|Ä500k|Ä500k|0|+Ä500k
56|35.123 Seats|Maksimir|42|Ä800k|Ä13.50m|Ä21.73m|Ä1.30m|+Ä20.43m
57|8.136 Seats|Stadion Rujevica|44|Ä500k|Ä4.25m|Ä9.00m|Ä1.00m|+Ä8.00m
58|34.183 Seats|Poljud|38|Ä500k|Ä10.80m|Ä13.90m|Ä950k|+Ä12.95m
59|18.856 Seats|Gradski vrt|41|Ä700k|Ä1.00m|Ä1.00m|Ä1.77m|Ä-770k
60|8.850 Seats|Kranjceviceva|41|Ä135k|Ä600k|Ä1.00m|Ä135k|+Ä865k
61|9.056 Seats|Aldo Drosina|57|Free transfer|Ä400k|Ä400k|0|+Ä400k
62|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|Ä500k|Ä950k|0|+Ä950k
63|35.123 Seats|Maksimir|40|Ä2.65m|Ä14.50m|Ä33.50m|Ä10.05m|+Ä23.45m
64|34.183 Seats|Poljud|40|Ä450k|Ä6.30m|Ä15.40m|Ä925k|+Ä14.48m
65|8.136 Seats|Stadion Rujevica|49|Ä800k|Ä5.00m|Ä12.38m|Ä800k|+Ä11.58m
66|18.856 Seats|Gradski vrt|42|Ä30k|Ä2.70m|Ä10.95m|Ä30k|+Ä10.92m
67|8.850 Seats|Kranjceviceva|52|Ä350k|Ä2.50m|Ä2.65m|Ä600k|+Ä2.05m
68|5.000 Seats|Gradski Stadion Ivan Kusek Apas|35|Free transfer|Ä2.28m|Ä2.28m|0|+Ä2.28m
69|9.056 Seats|Aldo Drosina|48|Ä250k|Free transfer|0|Ä250k|Ä-250k
70|32.710 Seats|Partizan Stadion|34|Ä400k|Ä6.80m|Ä11.44m|Ä1.17m|+Ä10.27m
71|14.852 Seats|Stadion Karadjordje|37|Ä160k|Ä2.25m|Ä4.28m|Ä260k|+Ä4.02m
72|51.755 Seats|Rajko MitiÊ Stadium|34|Ä472k|Ä2.80m|Ä6.46m|Ä1.78m|+Ä4.67m
73|6.000 Seats|Stadion Kralj Petar Prvi|33|Ä40k|Ä350k|Ä350k|Ä90k|+Ä260k
74|13.020 Seats|Gradski Stadion Subotica|0|Ä30k|Ä100k|0|0|0
75|32.710 Seats|Partizan Stadion|37|Ä300k|Ä4.00m|Ä8.43m|Ä330k|+Ä8.10m
76|51.755 Seats|Rajko MitiÊ Stadium|33|Ä770k|Ä2.47m|Ä4.66m|Ä2.46m|+Ä2.20m
77|14.852 Seats|Stadion Karadjordje|35|Free transfer|Ä1.10m|Ä1.70m|0|+Ä1.70m
78|6.000 Seats|Stadion Kralj Petar Prvi|35|Ä50k|Ä1.20m|Ä3.37m|Ä50k|+Ä3.32m
79|13.020 Seats|Gradski Stadion Subotica|32|Ä100k|Ä600k|Ä900k|Ä160k|+Ä740k
80|51.755 Seats|Rajko MitiÊ Stadium|40|Ä708k|Ä1.74m|Ä6.55m|Ä3.07m|+Ä3.47m
81|14.852 Seats|Stadion Karadjordje|37|Ä200k|Ä2.00m|Ä5.20m|Ä200k|+Ä5.00m
82|32.710 Seats|Partizan Stadion|32|Ä1.20m|Ä12.00m|Ä22.35m|Ä3.29m|+Ä19.06m
83|6.000 Seats|Stadion Kralj Petar Prvi|38|Ä177k|Ä708k|Ä1.41m|Ä187k|+Ä1.22m
84|13.020 Seats|Gradski Stadion Subotica|32|Free transfer|Ä153k|Ä353k|0|+Ä353k
85|32.710 Seats|Partizan Stadion|40|Ä300k|Ä2.00m|Ä3.50m|Ä850k|+Ä2.65m
86|51.755 Seats|Rajko MitiÊ Stadium|45|Ä425k|Ä600k|Ä600k|Ä1.03m|Ä-427k
87|14.852 Seats|Stadion Karadjordje|37|Free transfer|Ä1.50m|Ä2.15m|0|+Ä2.15m
88|6.000 Seats|Stadion Kralj Petar Prvi|43|Free transfer|Ä1.20m|Ä3.02m|0|+Ä3.02m
89|13.020 Seats|Gradski Stadion Subotica|28|Free transfer|Free transfer|0|0|0
90|32.710 Seats|Partizan Stadion|44|Ä200k|Ä10.00m|Ä21.80m|Ä200k|+Ä21.60m
91|51.755 Seats|Rajko MitiÊ Stadium|41|Ä200k|Ä2.70m|Ä6.51m|Ä901k|+Ä5.60m
92|14.852 Seats|Stadion Karadjordje|52|Free transfer|Ä200k|Ä520k|0|+Ä520k
93|6.000 Seats|Stadion Kralj Petar Prvi|50|Free transfer|Ä500k|Ä500k|0|+Ä500k
94|13.020 Seats|Gradski Stadion Subotica|38|Ä80k|Ä360k|Ä440k|Ä80k|+Ä360k
95|32.710 Seats|Partizan Stadion|39|Free transfer|Ä3.20m|Ä4.20m|0|+Ä4.20m
96|51.755 Seats|Rajko MitiÊ Stadium|38|Ä250k|Ä2.50m|Ä3.00m|Ä600k|+Ä2.40m
97|14.852 Seats|Stadion Karadjordje|37|Free transfer|Ä1.75m|Ä4.35m|0|+Ä4.35m
98|6.000 Seats|Stadion Kralj Petar Prvi|35|Free transfer|Free transfer|0|0|0
99|13.020 Seats|Gradski Stadion Subotica|33|Free transfer|Free transfer|0|0|0
100|32.710 Seats|Partizan Stadion|45|Ä450k|Ä3.00m|Ä5.47m|Ä870k|+Ä4.60m
101|51.755 Seats|Rajko MitiÊ Stadium|37|Ä1.00m|Ä7.00m|Ä15.75m|Ä2.40m|+Ä13.35m
102|14.852 Seats|Stadion Karadjordje|41|Free transfer|Ä1.25m|Ä3.39m|0|+Ä3.39m
103|13.020 Seats|Gradski Stadion Subotica|38|Free transfer|Ä350k|Ä350k|0|+Ä350k
104|6.000 Seats|Stadion Kralj Petar Prvi|39|Free transfer|Ä960k|Ä1.16m|0|+Ä1.16m
105|51.755 Seats|Rajko MitiÊ Stadium|44|Ä300k|Ä2.00m|Ä3.90m|Ä840k|+Ä3.06m
106|32.710 Seats|Partizan Stadion|49|Ä900k|Ä1.70m|Ä3.85m|Ä1.71m|+Ä2.14m
107|14.852 Seats|Stadion Karadjordje|48|Free transfer|Ä750k|Ä1.05m|0|+Ä1.05m
108|6.000 Seats|Stadion Kralj Petar Prvi|42|Free transfer|Free transfer|0|0|0
109|13.020 Seats|Gradski Stadion Subotica|44|Free transfer|Ä300k|Ä350k|0|+Ä350k
110|32.710 Seats|Partizan Stadion|43|Ä1.65m|Ä5.10m|Ä14.00m|Ä2.96m|+Ä11.04m
111|51.755 Seats|Rajko MitiÊ Stadium|37|Ä3.00m|Ä5.50m|Ä14.05m|Ä5.30m|+Ä8.75m
112|14.852 Seats|Stadion Karadjordje|49|Ä150k|Ä500k|Ä1.35m|Ä300k|+Ä1.05m
113|6.000 Seats|Stadion Kralj Petar Prvi|40|Free transfer|Ä400k|Ä400k|0|+Ä400k
114|13.020 Seats|Gradski Stadion Subotica|40|Free transfer|Ä400k|Ä900k|0|+Ä900k
115|51.755 Seats|Rajko MitiÊ Stadium|47|Ä2.50m|Ä12.00m|Ä24.05m|Ä10.14m|+Ä13.91m
116|32.710 Seats|Partizan Stadion|47|Ä500k|Ä1.95m|Ä6.55m|Ä1.10m|+Ä5.45m
117|14.852 Seats|Stadion Karadjordje|45|Ä100k|Ä650k|Ä700k|Ä100k|+Ä600k
118|6.000 Seats|Stadion Kralj Petar Prvi|44|Free transfer|Ä500k|Ä800k|0|+Ä800k
119|13.020 Seats|Gradski Stadion Subotica|45|Free transfer|Ä350k|Ä750k|0|+Ä750k
120|30.188 Seats|Red Bull Arena Salzburg|32|Ä2.50m|Ä400k|Ä400k|Ä7.00m|Ä-6.60m
121|28.345 Seats|Allianz-Stadion|29|Ä600k|Ä5.00m|Ä7.00m|Ä1.00m|+Ä6.00m
122|17.500 Seats|Generali Arena|30|Ä200k|Free transfer|0|Ä200k|Ä-200k
123|16.364 Seats|Merkur Arena|31|Free transfer|Ä300k|Ä300k|0|+Ä300k
124|30.188 Seats|Red Bull Arena Salzburg|35|Ä6.90m|Ä7.00m|Ä11.60m|Ä19.30m|Ä-7.70m
125|28.345 Seats|Allianz-Stadion|31|Ä300k|Ä4.90m|Ä4.90m|Ä620k|+Ä4.28m
126|17.500 Seats|Generali Arena|29|Ä400k|Ä1.00m|Ä1.00m|Ä700k|+Ä300k
127|16.364 Seats|Merkur Arena|27|Ä400k|Ä1.30m|Ä1.95m|Ä450k|+Ä1.50m
128|30.188 Seats|Red Bull Arena Salzburg|34|Ä1.20m|Free transfer|0|Ä2.85m|Ä-2.85m
129|17.500 Seats|Generali Arena|32|Ä300k|Ä4.50m|Ä6.40m|Ä1.15m|+Ä5.25m
130|28.345 Seats|Allianz-Stadion|28|Ä800k|Ä1.05m|Ä3.20m|Ä1.05m|+Ä2.15m
131|16.364 Seats|Merkur Arena|32|Free transfer|Ä1.00m|Ä1.30m|0|+Ä1.30m
132|30.188 Seats|Red Bull Arena Salzburg|34|Ä4.00m|Ä1.50m|Ä1.70m|Ä15.98m|Ä-14.28m
133|17.500 Seats|Generali Arena|29|Ä650k|Ä2.50m|Ä2.50m|Ä1.15m|+Ä1.35m
134|28.345 Seats|Allianz-Stadion|35|Ä350k|Ä500k|Ä1.00m|Ä580k|+Ä420k
135|16.364 Seats|Merkur Arena|35|Free transfer|Free transfer|0|0|0
136|30.188 Seats|Red Bull Arena Salzburg|35|Ä2.00m|Ä300k|Ä550k|Ä4.20m|Ä-3.65m
137|17.500 Seats|Generali Arena|38|Ä200k|Ä250k|Ä250k|Ä200k|+Ä50k
138|28.345 Seats|Allianz-Stadion|28|Ä250k|Free transfer|0|Ä250k|Ä-250k
139|16.364 Seats|Merkur Arena|34|Ä1.00m|Ä10k|Ä10k|Ä1.00m|Ä-990k
140|30.188 Seats|Red Bull Arena Salzburg|34|Ä2.50m|Ä23.00m|Ä47.30m|Ä7.30m|+Ä40.00m
141|17.500 Seats|Generali Arena|36|Ä1.20m|Ä7.00m|Ä9.25m|Ä3.42m|+Ä5.83m
142|28.345 Seats|Allianz-Stadion|27|Ä750k|Ä2.00m|Ä4.70m|Ä1.65m|+Ä3.05m
143|16.364 Seats|Merkur Arena|35|Ä250k|Ä2.50m|Ä3.60m|Ä250k|+Ä3.35m
144|30.188 Seats|Red Bull Arena Salzburg|37|Ä2.70m|Ä3.00m|Ä8.60m|Ä8.64m|Ä-36k
145|28.345 Seats|Allianz-Stadion|34|Ä800k|Ä7.50m|Ä8.90m|Ä2.00m|+Ä6.90m
146|17.500 Seats|Generali Arena|31|Ä800k|Ä700k|Ä700k|Ä1.59m|Ä-885k
147|16.364 Seats|Merkur Arena|33|Ä450k|Ä300k|Ä300k|Ä450k|Ä-150k
148|30.188 Seats|Red Bull Arena Salzburg|44|Ä5.00m|Ä29.75m|Ä73.55m|Ä9.45m|+Ä64.10m
149|28.345 Seats|Allianz-Stadion|37|Ä2.30m|Ä3.50m|Ä5.15m|Ä6.20m|Ä-1.05m
150|17.500 Seats|Generali Arena|31|Ä500k|Ä1.00m|Ä1.00m|Ä950k|+Ä50k
151|16.364 Seats|Merkur Arena|32|Ä600k|Ä3.00m|Ä6.05m|Ä800k|+Ä5.25m
152|30.188 Seats|Red Bull Arena Salzburg|37|Ä1.00m|Ä8.00m|Ä17.00m|Ä2.40m|+Ä14.60m
153|17.500 Seats|Generali Arena|38|Ä750k|Ä3.80m|Ä5.55m|Ä2.05m|+Ä3.50m
154|28.345 Seats|Allianz-Stadion|35|Ä1.50m|Ä8.10m|Ä9.08m|Ä3.10m|+Ä5.98m
155|16.364 Seats|Merkur Arena|35|Ä250k|Ä800k|Ä1.80m|Ä325k|+Ä1.48m
156|30.188 Seats|Red Bull Arena Salzburg|41|Ä8.00m|Ä19.00m|Ä61.60m|Ä16.25m|+Ä45.35m
157|28.345 Seats|Allianz-Stadion|37|Ä1.50m|Ä3.50m|Ä9.70m|Ä5.25m|+Ä4.45m
158|17.500 Seats|Generali Arena|34|Free transfer|Ä400k|Ä400k|0|+Ä400k
159|16.364 Seats|Merkur Arena|32|Ä760k|Ä2.50m|Ä4.35m|Ä1.06m|+Ä3.29m
160|18.944 Seats|Generali Arena|34|Ä400k|Free transfer|0|Ä400k|Ä-400k
161|20.617 Seats|Sinobo Stadium|0|Ä1.20m|Ä2.50m|0|0|0
162|18.221 Seats|AGC ArÈna|30|Free transfer|Free transfer|0|0|0
163|5.000 Seats|Lokotrans Arena|31|Ä200k|Ä1.00m|Ä1.00m|Ä200k|+Ä800k
164|9.900 Seats|Stadion U Nisy|32|Free transfer|Free transfer|0|0|0
165|11.700 Seats|Doosan ArÈna|26|Ä400k|Free transfer|0|Ä400k|Ä-400k
166|6.108 Seats|St¯elnice|29|Ä800k|Ä1.20m|Ä1.20m|Ä1.55m|Ä-350k
167|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|34|Free transfer|Free transfer|0|0|0
168|18.944 Seats|Generali Arena|36|Ä1.15m|Ä4.00m|Ä8.00m|Ä1.98m|+Ä6.02m
169|20.617 Seats|Sinobo Stadium|37|Free transfer|Ä3.80m|Ä5.58m|0|+Ä5.58m
170|18.221 Seats|AGC ArÈna|32|Ä200k|Free transfer|0|Ä200k|Ä-200k
171|11.700 Seats|Doosan ArÈna|36|Ä700k|Ä500k|Ä500k|Ä1.46m|Ä-960k
172|5.000 Seats|Lokotrans Arena|33|Ä100k|Free transfer|0|Ä100k|Ä-100k
173|9.900 Seats|Stadion U Nisy|29|Ä450k|Ä100k|Ä100k|Ä450k|Ä-350k
174|6.108 Seats|St¯elnice|26|Ä100k|Ä480k|Ä480k|Ä175k|+Ä305k
175|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|29|Ä150k|Free transfer|0|Ä225k|Ä-225k
176|18.944 Seats|Generali Arena|36|Ä600k|Ä2.00m|Ä2.48m|Ä920k|+Ä1.56m
177|11.700 Seats|Doosan ArÈna|30|Ä800k|Ä3.50m|Ä3.50m|Ä1.40m|+Ä2.10m
178|5.000 Seats|Lokotrans Arena|33|?|Ä600k|Ä600k|0|+Ä600k
179|18.221 Seats|AGC ArÈna|31|Free transfer|Ä30k|Ä30k|0|+Ä30k
180|20.617 Seats|Sinobo Stadium|37|Ä400k|Ä900k|Ä900k|Ä400k|+Ä500k
181|9.900 Seats|Stadion U Nisy|25|Free transfer|Ä1.00m|Ä1.80m|0|+Ä1.80m
182|6.108 Seats|St¯elnice|28|Free transfer|Ä2.00m|Ä3.00m|0|+Ä3.00m
183|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|31|?|Free transfer|0|0|0
184|18.944 Seats|Generali Arena|34|Ä800k|Ä450k|Ä450k|Ä1.42m|Ä-970k
185|11.700 Seats|Doosan ArÈna|32|Ä800k|Ä300k|Ä520k|Ä2.64m|Ä-2.12m
186|5.000 Seats|Lokotrans Arena|37|Free transfer|Free transfer|0|0|0
187|9.900 Seats|Stadion U Nisy|39|Free transfer|Ä1.80m|Ä2.35m|0|+Ä2.35m
188|20.617 Seats|Sinobo Stadium|36|Ä500k|Free transfer|0|Ä500k|Ä-500k
189|18.221 Seats|AGC ArÈna|33|Ä120k|Free transfer|0|Ä120k|Ä-120k
190|6.108 Seats|St¯elnice|27|Free transfer|Ä800k|Ä1.44m|0|+Ä1.44m
191|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|35|Free transfer|Free transfer|0|0|0
192|18.944 Seats|Generali Arena|42|Ä1.10m|Ä3.20m|Ä4.10m|Ä1.58m|+Ä2.52m
193|11.700 Seats|Doosan ArÈna|40|Ä750k|Ä4.00m|Ä4.15m|Ä1.35m|+Ä2.80m
194|20.617 Seats|Sinobo Stadium|45|Ä250k|Ä1.00m|Ä1.00m|Ä250k|+Ä750k
195|5.000 Seats|Lokotrans Arena|42|Free transfer|Free transfer|0|0|0
196|6.108 Seats|St¯elnice|35|Free transfer|Ä1.15m|Ä1.15m|0|+Ä1.15m
197|9.900 Seats|Stadion U Nisy|39|Ä121k|Ä700k|Ä700k|Ä121k|+Ä579k
198|18.221 Seats|AGC ArÈna|35|Ä200k|Free transfer|0|Ä200k|Ä-200k
199|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|36|Free transfer|?|0|0|0
200|18.944 Seats|Generali Arena|39|Ä100k|Ä2.00m|Ä3.00m|Ä100k|+Ä2.90m
201|11.700 Seats|Doosan ArÈna|33|Ä700k|Free transfer|0|Ä1.35m|Ä-1.35m
202|6.108 Seats|St¯elnice|31|Free transfer|Free transfer|0|0|0
203|5.000 Seats|Lokotrans Arena|38|Free transfer|Free transfer|0|0|0
204|9.900 Seats|Stadion U Nisy|39|Free transfer|Free transfer|0|0|0
205|20.617 Seats|Sinobo Stadium|39|Free transfer|Ä550k|Ä550k|0|+Ä550k
206|18.221 Seats|AGC ArÈna|33|Free transfer|Ä400k|Ä400k|0|+Ä400k
207|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|36|Free transfer|Free transfer|0|0|0
208|18.944 Seats|Generali Arena|47|Ä500k|Ä3.50m|Ä4.10m|Ä1.25m|+Ä2.85m
209|11.700 Seats|Doosan ArÈna|34|Free transfer|Free transfer|0|0|0
210|20.617 Seats|Sinobo Stadium|36|Ä1.00m|Free transfer|0|Ä3.60m|Ä-3.60m
211|5.000 Seats|Lokotrans Arena|38|Free transfer|Ä1.70m|Ä2.50m|0|+Ä2.50m
212|9.900 Seats|Stadion U Nisy|42|Free transfer|Ä1.50m|Ä1.50m|0|+Ä1.50m
213|6.108 Seats|St¯elnice|28|Free transfer|Ä140k|Ä140k|0|+Ä140k
214|18.221 Seats|AGC ArÈna|36|Ä75k|Free transfer|0|Ä75k|Ä-75k
215|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|32|Free transfer|Free transfer|0|0|0
216|18.944 Seats|Generali Arena|55|Ä2.70m|Ä8.50m|Ä20.75m|Ä5.95m|+Ä14.80m
217|11.700 Seats|Doosan ArÈna|35|Ä750k|Ä750k|Ä2.10m|Ä1.25m|+Ä850k
218|20.617 Seats|Sinobo Stadium|36|Ä1.40m|Ä200k|Ä400k|Ä5.35m|Ä-4.95m
219|6.108 Seats|St¯elnice|39|Free transfer|Ä1.10m|Ä1.65m|0|+Ä1.65m
220|9.900 Seats|Stadion U Nisy|45|Ä400k|Ä1.50m|Ä2.52m|Ä450k|+Ä2.07m
221|5.000 Seats|Lokotrans Arena|37|Ä200k|Ä400k|Ä400k|Ä200k|+Ä200k
222|18.221 Seats|AGC ArÈna|36|Free transfer|Ä550k|Ä550k|0|+Ä550k
223|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|36|?|Free transfer|0|0|0
224|18.944 Seats|Generali Arena|37|Ä3.75m|Ä3.00m|Ä9.50m|Ä16.00m|Ä-6.50m
225|20.617 Seats|Sinobo Stadium|33|Ä1.00m|Ä3.00m|Ä9.13m|Ä5.47m|+Ä3.66m
226|11.700 Seats|Doosan ArÈna|31|Ä1.00m|Ä2.50m|Ä3.50m|Ä2.00m|+Ä1.50m
227|5.000 Seats|Lokotrans Arena|43|Free transfer|Ä240k|Ä240k|0|+Ä240k
228|9.900 Seats|Stadion U Nisy|37|Ä180k|Ä1.50m|Ä2.90m|Ä180k|+Ä2.72m
229|6.108 Seats|St¯elnice|33|Ä240k|Ä1.50m|Ä2.83m|Ä240k|+Ä2.59m
230|18.221 Seats|AGC ArÈna|36|Free transfer|Free transfer|0|0|0
231|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|28|Free transfer|Ä800k|Ä800k|0|+Ä800k
232|18.944 Seats|Generali Arena|44|Ä1.65m|Ä10.00m|Ä14.16m|Ä3.69m|+Ä10.48m
233|20.617 Seats|Sinobo Stadium|45|Ä3.20m|Ä350k|Ä450k|Ä11.44m|Ä-10.99m
234|11.700 Seats|Doosan ArÈna|39|Ä600k|Free transfer|0|Ä600k|Ä-600k
235|5.000 Seats|Lokotrans Arena|44|Ä400k|Free transfer|0|Ä400k|Ä-400k
236|6.108 Seats|St¯elnice|32|Ä1.00m|Ä850k|Ä2.02m|Ä1.48m|+Ä540k
237|9.900 Seats|Stadion U Nisy|41|Ä155k|Ä1.00m|Ä1.70m|Ä155k|+Ä1.55m
238|18.221 Seats|AGC ArÈna|39|Free transfer|Ä900k|Ä900k|0|+Ä900k
239|8.000 Seats|MÏstsk˝ fotbalov˝ stadion Miroslava Valenty|34|Free transfer|Free transfer|0|0|0
240|33.130 Seats|Stadion Miejski im. Henryka Reymana|34|Ä450k|Ä200k|Ä250k|Ä550k|Ä-300k
241|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|33|Ä70k|Ä500k|Ä1.01m|Ä70k|+Ä938k
242|42.837 Seats|Stadion PoznaÒ|30|Ä430k|Ä3.20m|Ä3.50m|Ä1.40m|+Ä2.10m
243|15.500 Seats|Suzuki Arena|37|Ä50k|Ä60k|Ä60k|Ä163k|Ä-103k
244|42.771 Seats|Stadion Miejski|29|Ä200k|Ä75k|Ä75k|Ä200k|Ä-125k
245|22.432 Seats|Stadion Miejski|37|Ä200k|Ä60k|Ä70k|Ä475k|Ä-405k
246|43.615 Seats|Stadion Energa GdaÒsk|29|Ä200k|Ä20k|Ä20k|Ä350k|Ä-330k
247|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|35|Ä800k|Ä250k|Ä620k|Ä2.72m|Ä-2.10m
248|33.130 Seats|Stadion Miejski im. Henryka Reymana|38|Ä675k|Ä3.80m|Ä8.33m|Ä2.21m|+Ä6.12m
249|42.837 Seats|Stadion PoznaÒ|34|Ä1.00m|Ä4.75m|Ä5.33m|Ä2.98m|+Ä2.35m
250|15.500 Seats|Suzuki Arena|34|Ä150k|Ä250k|Ä425k|Ä285k|+Ä140k
