|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
844|13.331 Seats|Tsirion Stadion|34|Ä40k|Free transfer|0|Ä40k|Ä-40k
845|22.859 Seats|GSP Stadium|43|Ä300k|Ä4.50m|Ä5.18m|Ä375k|+Ä4.81m
846|13.331 Seats|Tsirion Stadion|42|Ä600k|Ä450k|Ä450k|Ä600k|Ä-150k
847|22.859 Seats|GSP Stadium|41|Ä200k|Free transfer|0|Ä200k|Ä-200k
848|10.230 Seats|Antonis Papadopoulos|41|Ä600k|Free transfer|0|Ä725k|Ä-725k
849|13.331 Seats|Tsirion Stadion|40|Ä80k|Free transfer|0|Ä155k|Ä-155k
850|13.126 Seats|Borisov-Arena|32|Ä180k|Ä430k|Ä430k|Ä180k|+Ä250k
851|22.246 Seats|Dinamo|43|Free transfer|Free transfer|0|0|0
852|4.200 Seats|Stroitel|30|Ä21k|Free transfer|0|Ä21k|Ä-21k
853|3.000 Seats|Stadion FK Minsk|30|Free transfer|Ä750|Ä750|0|+Ä750
854|6.524 Seats|Torpedo|47|Free transfer|Ä60k|Ä60k|0|+Ä60k
855|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|40|Free transfer|Ä21k|Ä21k|0|+Ä21k
856|13.126 Seats|Borisov-Arena|40|Ä150k|Ä300k|Ä590k|Ä585k|+Ä5k
857|22.246 Seats|Dinamo|49|Ä95k|Ä390k|Ä1.12m|Ä215k|+Ä900k
858|3.000 Seats|Stadion FK Minsk|35|Free transfer|Free transfer|0|0|0
859|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|35|Ä50k|Free transfer|0|Ä50k|Ä-50k
860|4.200 Seats|Stroitel|29|Ä100k|Ä50k|Ä50k|Ä100k|Ä-50k
861|6.524 Seats|Torpedo|37|Free transfer|Free transfer|0|0|0
862|13.126 Seats|Borisov-Arena|44|Ä500k|Ä2.80m|Ä4.30m|Ä1.07m|+Ä3.24m
863|3.000 Seats|Stadion FK Minsk|51|Free transfer|Free transfer|0|0|0
864|22.246 Seats|Dinamo|45|Ä380k|Ä300k|Ä300k|Ä715k|Ä-415k
865|4.200 Seats|Stroitel|32|Ä40k|Ä450k|Ä450k|Ä80k|+Ä370k
866|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|35|Free transfer|Free transfer|0|0|0
867|6.524 Seats|Torpedo|40|Ä10k|Free transfer|0|Ä10k|Ä-10k
868|13.126 Seats|Borisov-Arena|41|Ä300k|Ä3.50m|Ä4.67m|Ä375k|+Ä4.30m
