TransfermarktId|WinsELQ|DrawsELQ|LossesELQ|Year
5970|0.0|0.0|2.0|2010
6055|4.0|1.0|3.0|2010
6066|1.0|1.0|2.0|2010
6195|2.0|0.0|0.0|2010
6335|0.0|2.0|0.0|2010
6414|1.0|1.0|0.0|2010
6764|0.0|1.0|1.0|2010
6808|4.0|1.0|1.0|2010
7074|1.0|1.0|2.0|2010
7130|0.0|0.0|2.0|2010
7964|2.0|1.0|1.0|2010
8042|0.0|0.0|2.0|2010
8047|0.0|0.0|2.0|2010
8174|0.0|1.0|1.0|2010
8841|0.0|2.0|0.0|2010
9026|0.0|1.0|1.0|2010
9095|1.0|2.0|1.0|2010
9721|0.0|0.0|2.0|2010
10157|1.0|0.0|1.0|2010
10442|0.0|1.0|1.0|2010
10480|0.0|0.0|2.0|2010
10481|0.0|0.0|2.0|2010
10625|4.0|2.0|2.0|2010
10639|0.0|1.0|1.0|2010
10688|2.0|0.0|2.0|2010
10693|1.0|0.0|1.0|2010
10719|2.0|1.0|3.0|2010
10734|0.0|1.0|1.0|2010
10747|0.0|0.0|2.0|2010
10752|0.0|0.0|2.0|2010
11107|0.0|1.0|1.0|2010
11411|0.0|0.0|2.0|2010
11540|0.0|0.0|2.0|2010
11907|0.0|3.0|1.0|2010
11910|0.0|0.0|2.0|2010
11914|0.0|1.0|1.0|2010
11915|0.0|1.0|1.0|2010
14344|0.0|1.0|1.0|2010
15276|2.0|1.0|1.0|2010
16198|0.0|0.0|2.0|2010
18232|0.0|0.0|2.0|2010
18506|0.0|1.0|1.0|2010
21508|0.0|2.0|2.0|2010
21717|0.0|0.0|2.0|2010
21775|1.0|1.0|2.0|2010
22140|0.0|1.0|1.0|2010
22832|0.0|0.0|2.0|2010
23562|1.0|1.0|2.0|2010
24347|0.0|1.0|1.0|2010
24832|0.0|0.0|2.0|2010
27118|1.0|0.0|1.0|2010
28633|0.0|0.0|2.0|2010
28958|0.0|0.0|2.0|2010
13|2.0|0.0|0.0|2011
14|3.0|1.0|0.0|2011
20|2.0|0.0|0.0|2011
39|0.0|2.0|0.0|2011
43|1.0|1.0|0.0|2011
76|2.0|0.0|2.0|2011
119|3.0|1.0|0.0|2011
156|1.0|0.0|1.0|2011
159|2.0|0.0|0.0|2011
163|2.0|0.0|2.0|2011
197|2.0|0.0|0.0|2011
206|1.0|0.0|1.0|2011
255|1.0|1.0|0.0|2011
266|1.0|0.0|1.0|2011
273|2.0|0.0|0.0|2011
279|3.0|0.0|1.0|2011
282|1.0|1.0|2.0|2011
312|1.0|1.0|0.0|2011
365|3.0|1.0|2.0|2011
409|3.0|1.0|0.0|2011
420|2.0|1.0|1.0|2011
433|0.0|1.0|1.0|2011
447|0.0|0.0|2.0|2011
448|1.0|0.0|1.0|2011
452|2.0|0.0|0.0|2011
458|0.0|2.0|0.0|2011
512|2.0|0.0|0.0|2011
524|1.0|2.0|1.0|2011
599|3.0|2.0|1.0|2011
663|5.0|0.0|1.0|2011
699|1.0|0.0|1.0|2011
730|1.0|3.0|0.0|2011
759|1.0|2.0|1.0|2011
829|1.0|0.0|1.0|2011
865|2.0|1.0|1.0|2011
902|2.0|1.0|1.0|2011
931|4.0|2.0|0.0|2011
938|1.0|3.0|0.0|2011
968|1.0|1.0|2.0|2011
982|2.0|1.0|1.0|2011
