|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
52|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2016|20,8|9|15.73m|276k|2016|Croatia|8.850 Seats|Kranjceviceva|57|200k|600k|1.30m|200k|+1.10m
53|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2016|22,2|3|9.30m|233k|2016|Croatia|18.856 Seats|Gradski vrt|40|400k|50k|50k|610k|-560k
54|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2016|23,4|11|9.15m|277k|2016|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|700k|1.58m|0|+1.58m
55|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2016|23,2|13|7.13m|183k|2016|Croatia|9.056 Seats|Aldo Drosina|39|Free transfer|500k|500k|0|+500k
56|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2017|22,7|18|62.35m|1.48m|2017|Croatia|35.123 Seats|Maksimir|42|800k|13.50m|21.73m|1.30m|+20.43m
57|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2017|23,9|23|33.10m|752k|2017|Croatia|8.136 Seats|Stadion Rujevica|44|500k|4.25m|9.00m|1.00m|+8.00m
58|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2017|22,4|15|28.40m|747k|2017|Croatia|34.183 Seats|Poljud|38|500k|10.80m|13.90m|950k|+12.95m
59|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2017|23,2|7|16.20m|395k|2017|Croatia|18.856 Seats|Gradski vrt|41|700k|1.00m|1.00m|1.77m|-770k
60|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2017|22,2|7|12.50m|305k|2017|Croatia|8.850 Seats|Kranjceviceva|41|135k|600k|1.00m|135k|+865k
61|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2017|23,4|16|11.00m|193k|2017|Croatia|9.056 Seats|Aldo Drosina|57|Free transfer|400k|400k|0|+400k
