|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
256|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2011|25,2|16|22.35m|798k|2011|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|31|650k|80k|115k|1.10m|-985k
257|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2011|25,7|8|14.13m|456k|2011|Poland|42.771 Seats|Stadion Miejski|31|300k|Free transfer|0|800k|-800k
258|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2011|23,6|14|12.93m|359k|2011|Poland|22.432 Seats|Stadion Miejski|37|280k|1.90m|2.19m|650k|+1.54m
259|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2011|24,0|12|11.20m|329k|2011|Poland|43.615 Seats|Stadion Energa Gdañsk|34|70k|20k|20k|270k|-250k
260|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2011|24,3|6|10.40m|297k|2011|Poland|15.500 Seats|Suzuki Arena|36|25k|120k|120k|45k|+75k
261|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2012|25,0|13|20.23m|632k|2012|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|33|40k|800k|1.80m|42k|+1.76m
262|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2012|24,6|9|20.20m|594k|2012|Poland|42.771 Seats|Stadion Miejski|34|Free transfer|Free transfer|0|0|0
263|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2012|24,2|7|19.30m|772k|2012|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|33|100k|2.70m|2.70m|210k|+2.49m
264|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2012|24,2|10|15.63m|504k|2012|Poland|42.837 Seats|Stadion Poznañ|33|410k|3.50m|4.13m|945k|+3.18m
265|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2012|22,7|9|9.53m|238k|2012|Poland|43.615 Seats|Stadion Energa Gdañsk|41|100k|500k|500k|110k|+390k
266|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2012|24,4|8|9.43m|248k|2012|Poland|15.500 Seats|Suzuki Arena|38|10k|13k|13k|13k|0
267|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2012|22,6|8|9.30m|266k|2012|Poland|22.432 Seats|Stadion Miejski|36|200k|1.00m|1.60m|260k|+1.34m
268|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2013|23,4|13|24.05m|587k|2013|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|42|500k|2.65m|5.33m|1.64m|+3.69m
269|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2013|23,7|11|17.05m|501k|2013|Poland|42.837 Seats|Stadion Poznañ|34|100k|3.20m|3.43m|100k|+3.33m
270|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2013|24,7|14|15.03m|417k|2013|Poland|42.771 Seats|Stadion Miejski|36|26k|1.00m|1.00m|26k|+974k
271|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2013|22,5|10|11.83m|311k|2013|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|38|Free transfer|150k|180k|0|+180k
272|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2013|21,9|11|10.78m|251k|2013|Poland|22.432 Seats|Stadion Miejski|43|50k|500k|580k|50k|+530k
273|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2013|23,9|10|10.45m|249k|2013|Poland|15.500 Seats|Suzuki Arena|43|100k|50k|55k|115k|-60k
274|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2013|22,8|7|9.88m|253k|2013|Poland|43.615 Seats|Stadion Energa Gdañsk|39|200k|400k|755k|230k|+525k
275|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2014|24,1|11|23.55m|604k|2014|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|39|800k|2.25m|5.18m|1.61m|+3.57m
276|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2014|23,3|15|17.20m|521k|2014|Poland|42.837 Seats|Stadion Poznañ|33|600k|4.00m|4.00m|1.60m|+2.40m
277|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2014|22,7|15|17.20m|430k|2014|Poland|43.615 Seats|Stadion Energa Gdañsk|40|800k|2.50m|2.58m|2.90m|-320k
278|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2014|23,5|9|11.40m|356k|2014|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|32|75k|1.40m|1.40m|75k|+1.33m
279|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2014|24,7|14|11.30m|323k|2014|Poland|15.500 Seats|Suzuki Arena|35|Free transfer|2k|2k|0|+2k
280|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2014|24,8|11|11.23m|362k|2014|Poland|42.771 Seats|Stadion Miejski|31|5k|370k|370k|7k|+364k
281|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2014|21,4|7|8.55m|199k|2014|Poland|22.432 Seats|Stadion Miejski|43|75k|700k|950k|127k|+823k
282|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2015|25,4|11|32.45m|901k|2015|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|36|800k|1.50m|2.75m|2.93m|-175k
283|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2015|24,2|14|23.90m|683k|2015|Poland|42.837 Seats|Stadion Poznañ|35|500k|200k|210k|1.70m|-1.49m
284|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2015|24,0|14|18.08m|489k|2015|Poland|43.615 Seats|Stadion Energa Gdañsk|37|500k|800k|1.10m|910k|+190k
285|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2015|22,2|8|13.40m|327k|2015|Poland|22.432 Seats|Stadion Miejski|41|250k|1.00m|2.70m|693k|+2.01m
286|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2015|24,1|9|12.08m|335k|2015|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|36|400k|75k|110k|475k|-365k
287|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2015|24,7|11|11.18m|360k|2015|Poland|42.771 Seats|Stadion Miejski|31|Free transfer|300k|400k|0|+400k
288|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2015|23,5|11|6.40m|149k|2015|Poland|15.500 Seats|Suzuki Arena|43|Free transfer|13k|13k|0|+13k
289|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2016|24,7|18|43.38m|904k|2016|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|48|1.00m|4.20m|14.80m|4.32m|+10.48m
290|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2016|25,0|16|19.48m|487k|2016|Poland|43.615 Seats|Stadion Energa Gdañsk|40|500k|50k|75k|550k|-475k
291|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2016|23,6|12|17.15m|440k|2016|Poland|42.837 Seats|Stadion Poznañ|39|300k|3.20m|6.07m|300k|+5.77m
292|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2016|24,6|11|11.20m|303k|2016|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|37|Free transfer|1.00m|1.80m|0|+1.80m
293|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2016|23,4|10|10.18m|275k|2016|Poland|22.432 Seats|Stadion Miejski|37|300k|2.50m|2.50m|350k|+2.15m
294|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2016|25,4|15|9.98m|322k|2016|Poland|42.771 Seats|Stadion Miejski|31|Free transfer|Free transfer|0|0|0
295|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2016|24,0|14|8.40m|191k|2016|Poland|15.500 Seats|Suzuki Arena|44|Free transfer|Free transfer|0|0|0
296|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2017|25,1|21|39.58m|824k|2017|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|48|750k|2.50m|4.95m|3.10m|+1.85m
297|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2017|24,7|17|18.10m|453k|2017|Poland|43.615 Seats|Stadion Energa Gdañsk|40|Free transfer|2.60m|3.07m|0|+3.07m
298|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2017|24,9|18|16.93m|498k|2017|Poland|42.837 Seats|Stadion Poznañ|34|650k|6.00m|12.49m|1.28m|+11.21m
299|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2017|24,7|14|16.58m|448k|2017|Poland|22.432 Seats|Stadion Miejski|37|600k|1.50m|2.16m|1.26m|+900k
300|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2017|24,5|19|11.90m|298k|2017|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|40|Free transfer|2.20m|2.60m|0|+2.60m
301|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2017|25,1|11|9.45m|270k|2017|Poland|42.771 Seats|Stadion Miejski|35|75k|275k|275k|165k|+110k
302|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2017|24,4|20|8.18m|221k|2017|Poland|15.500 Seats|Suzuki Arena|37|50k|100k|100k|50k|+50k
303|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2018|25,0|20|34.73m|789k|2018|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|44|500k|275k|275k|1.93m|-1.65m
304|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2018|23,6|15|18.80m|459k|2018|Poland|42.837 Seats|Stadion Poznañ|41|1.00m|800k|1.25m|1.43m|-175k
305|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2018|23,8|18|15.43m|343k|2018|Poland|22.432 Seats|Stadion Miejski|45|550k|2.00m|3.86m|1.11m|+2.75m
306|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2018|23,1|11|11.41m|253k|2018|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|45|125k|550k|1.11m|178k|+935k
307|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2018|23,1|9|11.28m|313k|2018|Poland|43.615 Seats|Stadion Energa Gdañsk|36|Free transfer|500k|500k|0|+500k
308|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2018|24,4|7|9.23m|249k|2018|Poland|42.771 Seats|Stadion Miejski|37|90k|300k|300k|203k|+98k
309|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2018|23,2|16|8.35m|226k|2018|Poland|15.500 Seats|Suzuki Arena|37|40k|100k|175k|40k|+135k
310|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2009|26,4|22|37.05m|1.09m|2009|Romania|23.500 Seats|Dr. Constantin Rãdulescu|34|1.00m|6.50m|8.90m|1.28m|+7.62m
311|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2009|25,0|9|29.78m|876k|2009|Romania|15.032 Seats|Dinamo|34|150k|600k|2.20m|150k|+2.05m
312|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2010|25,5|25|42.00m|1.02m|2010|Romania|23.500 Seats|Dr. Constantin Rãdulescu|41|900k|6.00m|11.70m|3.53m|+8.17m
313|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2010|24,9|10|32.68m|797k|2010|Romania|15.032 Seats|Dinamo|41|250k|2.00m|5.45m|750k|+4.70m
314|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2011|26,8|23|34.15m|1.03m|2011|Romania|23.500 Seats|Dr. Constantin Rãdulescu|34|300k|1.00m|2.00m|530k|+1.47m
315|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2011|24,9|6|25.03m|736k|2011|Romania|15.032 Seats|Dinamo|35|700k|5.00m|5.74m|2.05m|+3.69m
316|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2012|26,6|26|36.45m|959k|2012|Romania|23.500 Seats|Dr. Constantin Rãdulescu|38|800k|3.50m|9.70m|2.00m|+7.70m
317|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2012|23,9|6|23.48m|652k|2012|Romania|15.032 Seats|Dinamo|36|150k|1.00m|2.15m|250k|+1.90m
318|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2013|25,1|24|32.35m|789k|2013|Romania|23.500 Seats|Dr. Constantin Rãdulescu|43|1.00m|200k|300k|1.54m|-1.24m
319|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2013|22,4|13|24.88m|529k|2013|Romania|15.032 Seats|Dinamo|47|1.10m|1.60m|2.10m|1.30m|+805k
320|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2014|23,0|13|25.95m|552k|2014|Romania|15.032 Seats|Dinamo|47|25k|1.00m|1.00m|25k|+975k
321|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2014|23,2|23|18.05m|392k|2014|Romania|23.500 Seats|Dr. Constantin Rãdulescu|46|100k|1.00m|1.85m|130k|+1.72m
322|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2015|23,0|16|21.53m|501k|2015|Romania|15.032 Seats|Dinamo|43|180k|200k|450k|215k|+235k
323|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2015|25,0|17|13.98m|437k|2015|Romania|23.500 Seats|Dr. Constantin Rãdulescu|32|Free transfer|500k|1.00m|0|+1.00m
324|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2016|24,3|17|23.23m|596k|2016|Romania|15.032 Seats|Dinamo|39|30k|2.20m|3.70m|30k|+3.67m
325|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2016|25,1|13|14.08m|380k|2016|Romania|23.500 Seats|Dr. Constantin Rãdulescu|37|Free transfer|500k|1.30m|0|+1.30m
326|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2017|24,0|17|24.10m|560k|2017|Romania|15.032 Seats|Dinamo|43|50k|700k|2.65m|50k|+2.60m
327|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2017|25,5|15|19.85m|536k|2017|Romania|23.500 Seats|Dr. Constantin Rãdulescu|37|1.00m|Free transfer|0|2.80m|-2.80m
328|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2018|26,0|16|26.73m|703k|2018|Romania|23.500 Seats|Dr. Constantin Rãdulescu|38|20k|2.50m|2.50m|20k|+2.48m
329|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2018|23,9|26|21.20m|393k|2018|Romania|15.032 Seats|Dinamo|54|50k|500k|560k|50k|+510k
330|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2009|24,8|14|99.00m|3.09m|2009|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|32|8.00m|1.50m|3.95m|16.15m|-12.20m
331|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2009|24,9|17|94.20m|2.69m|2009|Greece|32.115 Seats|Stadio Georgios Karaiskakis|35|3.00m|5.00m|5.00m|7.80m|-2.80m
332|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2009|25,9|21|48.45m|1.47m|2009|Greece|28.703 Seats|Toumba Stadium|33|1.80m|150k|150k|2.80m|-2.65m
333|Panionios|/panionios-athen/startseite/verein/169/saison_id/2009|22,5|19|26.10m|669k|2009|Greece|11.700 Seats|Stadio Neas Smyrnis|39|150k|860k|940k|735k|+205k
334|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2009|24,7|15|21.50m|741k|2009|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|29|500k|Free transfer|0|950k|-950k
335|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2009|26,8|12|21.00m|700k|2009|Greece|9.050 Seats|Stadio Peristeriou|30|250k|200k|200k|590k|-390k
336|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2010|24,7|23|110.83m|2.92m|2010|Greece|32.115 Seats|Stadio Georgios Karaiskakis|38|6.00m|2.00m|5.00m|13.60m|-8.60m
337|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2010|24,4|14|99.55m|2.77m|2010|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|36|915k|700k|1.92m|1.99m|-75k
338|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2010|25,4|22|60.25m|1.54m|2010|Greece|28.703 Seats|Toumba Stadium|39|250k|Free transfer|0|810k|-810k
339|Panionios|/panionios-athen/startseite/verein/169/saison_id/2010|23,9|24|32.58m|905k|2010|Greece|11.700 Seats|Stadio Neas Smyrnis|36|120k|1.20m|1.59m|120k|+1.47m
340|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2010|24,3|21|20.80m|547k|2010|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|38|45k|400k|570k|45k|+525k
341|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2010|26,2|13|19.85m|684k|2010|Greece|9.050 Seats|Stadio Peristeriou|29|Free transfer|150k|335k|0|+335k
342|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2011|25,4|25|98.65m|2.47m|2011|Greece|32.115 Seats|Stadio Georgios Karaiskakis|40|3.00m|3.00m|3.00m|12.16m|-9.16m
343|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2011|24,9|13|74.10m|2.06m|2011|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|36|500k|5.80m|7.95m|1.08m|+6.87m
344|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2011|24,2|20|53.45m|1.19m|2011|Greece|28.703 Seats|Toumba Stadium|45|400k|4.00m|4.49m|400k|+4.09m
345|Panionios|/panionios-athen/startseite/verein/169/saison_id/2011|23,8|20|23.50m|480k|2011|Greece|11.700 Seats|Stadio Neas Smyrnis|49|Free transfer|350k|705k|0|+705k
346|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2011|24,6|9|18.60m|664k|2011|Greece|9.050 Seats|Stadio Peristeriou|28|Free transfer|500k|500k|0|+500k
347|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2011|25,5|22|18.10m|489k|2011|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|37|Free transfer|250k|250k|0|+250k
348|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2012|25,1|15|75.03m|2.34m|2012|Greece|32.115 Seats|Stadio Georgios Karaiskakis|33|2.70m|7.65m|8.10m|5.00m|+3.11m
349|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2012|23,4|14|44.60m|1.14m|2012|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|39|150k|Free transfer|0|290k|-290k
350|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2012|24,5|16|43.45m|1.28m|2012|Greece|28.703 Seats|Toumba Stadium|36|220k|1.50m|1.95m|220k|+1.73m
351|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2012|25,0|14|20.45m|705k|2012|Greece|9.050 Seats|Stadio Peristeriou|31|Free transfer|220k|220k|0|+220k
352|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2012|25,5|20|17.95m|528k|2012|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|37|24k|Free transfer|0|24k|-24k
353|Panionios|/panionios-athen/startseite/verein/169/saison_id/2012|22,0|3|8.93m|241k|2012|Greece|11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|350k|690k|0|+690k
354|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2013|25,0|23|81.25m|2.20m|2013|Greece|32.115 Seats|Stadio Georgios Karaiskakis|38|2.50m|15.20m|33.62m|9.04m|+24.58m
355|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2013|24,2|23|78.10m|1.53m|2013|Greece|28.703 Seats|Toumba Stadium|52|1.00m|100k|100k|2.80m|-2.70m
356|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2013|23,8|19|19.50m|453k|2013|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|44|Free transfer|800k|800k|0|+800k
357|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2013|22,3|12|19.40m|588k|2013|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|33|200k|3.00m|4.99m|260k|+4.73m
358|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2013|25,5|7|17.15m|591k|2013|Greece|9.050 Seats|Stadio Peristeriou|31|Free transfer|350k|950k|0|+950k
359|Panionios|/panionios-athen/startseite/verein/169/saison_id/2013|22,8|4|9.55m|308k|2013|Greece|11.700 Seats|Stadio Neas Smyrnis|32|Free transfer|750k|750k|0|+750k
360|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2014|24,0|24|84.05m|2.05m|2014|Greece|32.115 Seats|Stadio Georgios Karaiskakis|41|6.00m|15.00m|28.50m|25.88m|+2.62m
361|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2014|24,4|12|44.98m|1.36m|2014|Greece|28.703 Seats|Toumba Stadium|33|450k|300k|300k|770k|-470k
362|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2014|23,9|12|26.35m|798k|2014|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|33|50k|2.25m|2.25m|50k|+2.20m
363|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2014|23,9|22|19.20m|468k|2014|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|41|Free transfer|1.20m|1.20m|0|+1.20m
364|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2014|26,1|11|18.60m|581k|2014|Greece|9.050 Seats|Stadio Peristeriou|32|Free transfer|600k|650k|0|+650k
365|Panionios|/panionios-athen/startseite/verein/169/saison_id/2014|21,5|5|8.58m|232k|2014|Greece|11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|500k|500k|0|+500k
366|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2015|23,6|22|91.33m|2.28m|2015|Greece|32.115 Seats|Stadio Georgios Karaiskakis|40|5.42m|2.50m|4.88m|20.52m|-15.64m
367|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2015|24,7|20|44.45m|1.06m|2015|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|42|600k|2.50m|2.50m|2.85m|-350k
368|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2015|22,7|17|41.23m|825k|2015|Greece|28.703 Seats|Toumba Stadium|50|1.30m|1.50m|3.00m|7.19m|-4.19m
369|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2015|25,4|22|20.63m|557k|2015|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|37|140k|2.50m|4.00m|140k|+3.86m
370|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2015|25,9|16|16.58m|535k|2015|Greece|9.050 Seats|Stadio Peristeriou|31|200k|480k|880k|330k|+550k
371|Panionios|/panionios-athen/startseite/verein/169/saison_id/2015|22,2|3|11.03m|356k|2015|Greece|11.700 Seats|Stadio Neas Smyrnis|31|Free transfer|550k|1.40m|0|+1.40m
372|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2016|24,3|32|113.05m|2.09m|2016|Greece|32.115 Seats|Stadio Georgios Karaiskakis|54|3.00m|15.10m|53.25m|13.35m|+39.90m
373|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2016|23,5|23|54.48m|1.07m|2016|Greece|28.703 Seats|Toumba Stadium|51|2.90m|5.30m|9.50m|6.55m|+2.95m
374|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2016|24,5|24|50.15m|1.14m|2016|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|44|625k|250k|580k|2.58m|-2.00m
375|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2016|23,6|17|17.95m|460k|2016|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|39|180k|500k|500k|330k|+170k
376|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2016|25,9|11|15.35m|451k|2016|Greece|9.050 Seats|Stadio Peristeriou|34|Free transfer|600k|600k|0|+600k
377|Panionios|/panionios-athen/startseite/verein/169/saison_id/2016|23,5|12|15.35m|415k|2016|Greece|11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|400k|850k|0|+850k
378|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2017|24,3|25|98.90m|2.30m|2017|Greece|32.115 Seats|Stadio Georgios Karaiskakis|43|7.10m|17.50m|23.05m|21.40m|+1.65m
379|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2017|25,0|22|64.05m|1.60m|2017|Greece|28.703 Seats|Toumba Stadium|40|1.50m|2.50m|2.50m|7.30m|-4.80m
380|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2017|23,6|18|43.10m|1.05m|2017|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|41|1.30m|3.30m|4.65m|1.72m|+2.93m
381|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2017|22,7|16|13.23m|348k|2017|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|38|Free transfer|980k|980k|0|+980k
382|Panionios|/panionios-athen/startseite/verein/169/saison_id/2017|24,0|13|13.23m|401k|2017|Greece|11.700 Seats|Stadio Neas Smyrnis|33|Free transfer|600k|800k|0|+800k
383|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2017|24,0|12|12.83m|414k|2017|Greece|9.050 Seats|Stadio Peristeriou|31|Free transfer|900k|1.70m|0|+1.70m
384|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2018|23,3|27|90.65m|1.59m|2018|Greece|32.115 Seats|Stadio Georgios Karaiskakis|57|7.00m|3.00m|10.80m|16.23m|-5.43m
385|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2018|24,2|29|86.95m|1.61m|2018|Greece|28.703 Seats|Toumba Stadium|54|4.00m|10.00m|11.20m|10.30m|+900k
386|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2018|23,3|12|18.20m|506k|2018|Greece|9.050 Seats|Stadio Peristeriou|36|Free transfer|200k|200k|0|+200k
387|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2018|21,6|9|17.33m|413k|2018|Greece|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|42|Free transfer|2.40m|2.40m|0|+2.40m
388|Panionios|/panionios-athen/startseite/verein/169/saison_id/2018|24,6|20|15.18m|434k|2018|Greece|11.700 Seats|Stadio Neas Smyrnis|35|Free transfer|400k|400k|0|+400k
