,teams,links,age,a_players,value,difference,year
127,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2010,"24,8",3,€10.63m,€409k,2010
128,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2010,"23,5",5,€5.33m,€184k,2010
129,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2010,"22,3",5,€4.88m,€157k,2010
130,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2011,"25,1",6,€25.58m,€710k,2011
131,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2011,"26,0",5,€16.45m,€548k,2011
132,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2011,"23,6",9,€12.50m,€329k,2011
133,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2011,"25,0",4,€12.15m,€392k,2011
134,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2011,"23,8",7,€11.15m,€372k,2011
135,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2011,"22,9",7,€9.90m,€275k,2011
136,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2011,"25,0",6,€9.28m,€371k,2011
137,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2011,"23,7",3,€8.98m,€345k,2011
138,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2011,"21,7",7,€5.05m,€163k,2011
139,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2011,"24,0",4,€4.63m,€149k,2011
140,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2012,"23,8",7,€26.28m,€796k,2012
141,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2012,"24,9",6,€18.31m,€610k,2012
142,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2012,"24,3",8,€15.80m,€451k,2012
143,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2012,"25,6",7,€14.70m,€408k,2012
144,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2012,"24,5",13,€12.68m,€352k,2012
145,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2012,"24,9",9,€11.28m,€364k,2012
146,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2012,"24,8",8,€11.23m,€387k,2012
147,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2012,"24,7",3,€10.70m,€412k,2012
148,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2012,"24,1",6,€8.35m,€253k,2012
149,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2012,"24,0",5,€6.78m,€205k,2012
150,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2013,"23,8",6,€33.65m,€841k,2013
151,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2013,"25,4",7,€28.93m,€723k,2013
152,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2013,"24,6",13,€15.60m,€371k,2013
153,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2013,"25,4",3,€13.08m,€319k,2013
154,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2013,"24,4",3,€11.65m,€333k,2013
155,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2013,"23,1",15,€11.30m,€290k,2013
