,teams,links,age,a_players,value,difference,year
475,Dundee United,/dundee-united-fc/startseite/verein/1519/saison_id/2013,"21,8",12,€8.48m,€242k,2013
476,Motherwell FC,/motherwell-fc/startseite/verein/987/saison_id/2013,"23,3",9,€8.20m,€293k,2013
477,Inverness Cal.,/inverness-caledonian-thistle-fc/startseite/verein/2451/saison_id/2013,"22,3",21,€4.80m,€166k,2013
478,Celtic,/celtic-glasgow/startseite/verein/371/saison_id/2014,"22,9",25,€65.58m,€1.53m,2014
479,Aberdeen FC,/aberdeen-fc/startseite/verein/370/saison_id/2014,"22,7",12,€11.08m,€308k,2014
480,St. Johnstone,/st-johnstone-fc/startseite/verein/2578/saison_id/2014,"25,2",6,€9.40m,€285k,2014
481,Dundee United,/dundee-united-fc/startseite/verein/1519/saison_id/2014,"22,4",16,€8.78m,€225k,2014
482,Motherwell FC,/motherwell-fc/startseite/verein/987/saison_id/2014,"22,9",17,€8.65m,€222k,2014
483,Inverness Cal.,/inverness-caledonian-thistle-fc/startseite/verein/2451/saison_id/2014,"23,6",19,€6.20m,€221k,2014
484,Kilmarnock FC,/kilmarnock-fc/startseite/verein/2553/saison_id/2014,"22,0",11,€5.75m,€192k,2014
485,Celtic,/celtic-glasgow/startseite/verein/371/saison_id/2015,"23,0",24,€55.90m,€1.33m,2015
486,Dundee United,/dundee-united-fc/startseite/verein/1519/saison_id/2015,"22,8",23,€12.60m,€286k,2015
487,Aberdeen FC,/aberdeen-fc/startseite/verein/370/saison_id/2015,"23,8",15,€10.73m,€315k,2015
488,St. Johnstone,/st-johnstone-fc/startseite/verein/2578/saison_id/2015,"25,3",9,€9.73m,€286k,2015
489,Kilmarnock FC,/kilmarnock-fc/startseite/verein/2553/saison_id/2015,"22,4",13,€7.73m,€184k,2015
490,Motherwell FC,/motherwell-fc/startseite/verein/987/saison_id/2015,"23,7",15,€6.93m,€210k,2015
491,Inverness Cal.,/inverness-caledonian-thistle-fc/startseite/verein/2451/saison_id/2015,"24,4",24,€5.43m,€170k,2015
492,HJK Helsinki,/hjk-helsinki/startseite/verein/1008/saison_id/2010,"23,5",9,€12.85m,€313k,2010
493,FC Inter,/fc-inter-turku/startseite/verein/8042/saison_id/2010,"22,6",13,€6.98m,€205k,2010
494,KuPS,/kuopion-palloseura/startseite/verein/6251/saison_id/2010,"23,2",7,€5.95m,€198k,2010
495,VPS,/vaasan-palloseura/startseite/verein/1102/saison_id/2010,"23,9",7,€4.90m,€196k,2010
496,IFK Mariehamn,/ifk-mariehamn/startseite/verein/6017/saison_id/2010,"23,0",11,€4.85m,€173k,2010
497,HJK Helsinki,/hjk-helsinki/startseite/verein/1008/saison_id/2011,"24,0",6,€13.53m,€330k,2011
498,KuPS,/kuopion-palloseura/startseite/verein/6251/saison_id/2011,"24,0",19,€8.68m,€202k,2011
499,VPS,/vaasan-palloseura/startseite/verein/1102/saison_id/2011,"23,9",8,€4.20m,€135k,2011
500,FC Inter,/fc-inter-turku/startseite/verein/8042/saison_id/2011,"22,1",8,€4.15m,€160k,2011
501,IFK Mariehamn,/ifk-mariehamn/startseite/verein/6017/saison_id/2011,"23,1",15,€4.08m,€120k,2011
502,HJK Helsinki,/hjk-helsinki/startseite/verein/1008/saison_id/2012,"25,1",3,€12.78m,€376k,2012
503,KuPS,/kuopion-palloseura/startseite/verein/6251/saison_id/2012,"23,6",13,€8.05m,€183k,2012
504,FC Inter,/fc-inter-turku/startseite/verein/8042/saison_id/2012,"22,3",12,€6.95m,€178k,2012
505,IFK Mariehamn,/ifk-mariehamn/startseite/verein/6017/saison_id/2012,"22,8",25,€4.18m,€87k,2012
506,VPS,/vaasan-palloseura/startseite/verein/1102/saison_id/2012,"23,5",11,€3.95m,€127k,2012
507,HJK Helsinki,/hjk-helsinki/startseite/verein/1008/saison_id/2013,"22,7",5,€8.90m,€207k,2013
508,FC Inter,/fc-inter-turku/startseite/verein/8042/saison_id/2013,"23,9",7,€5.88m,€245k,2013
509,IFK Mariehamn,/ifk-mariehamn/startseite/verein/6017/saison_id/2013,"24,6",14,€4.43m,€148k,2013
510,VPS,/vaasan-palloseura/startseite/verein/1102/saison_id/2013,"24,8",7,€2.80m,€117k,2013
511,KuPS,/kuopion-palloseura/startseite/verein/6251/saison_id/2013,"21,5",8,€2.40m,€83k,2013
512,HJK Helsinki,/hjk-helsinki/startseite/verein/1008/saison_id/2014,"22,7",15,€15.35m,€252k,2014
513,FC Inter,/fc-inter-turku/startseite/verein/8042/saison_id/2014,"23,3",13,€5.90m,€184k,2014
514,VPS,/vaasan-palloseura/startseite/verein/1102/saison_id/2014,"23,1",11,€4.70m,€115k,2014
515,IFK Mariehamn,/ifk-mariehamn/startseite/verein/6017/saison_id/2014,"22,5",12,€4.10m,€117k,2014
516,KuPS,/kuopion-palloseura/startseite/verein/6251/saison_id/2014,"22,0",12,€3.90m,€115k,2014
517,HJK Helsinki,/hjk-helsinki/startseite/verein/1008/saison_id/2015,"22,9",17,€15.20m,€323k,2015
518,FC Inter,/fc-inter-turku/startseite/verein/8042/saison_id/2015,"22,7",10,€4.85m,€147k,2015
519,VPS,/vaasan-palloseura/startseite/verein/1102/saison_id/2015,"23,8",12,€4.45m,€111k,2015
520,IFK Mariehamn,/ifk-mariehamn/startseite/verein/6017/saison_id/2015,"26,1",10,€3.00m,€143k,2015
521,KuPS,/kuopion-palloseura/startseite/verein/6251/saison_id/2015,"22,3",11,€2.28m,€69k,2015
522,Rosenborg BK,/rosenborg-trondheim/startseite/verein/195/saison_id/2010,"23,3",15,€34.95m,€852k,2010
523,Molde FK,/molde-fk/startseite/verein/687/saison_id/2010,"23,1",15,€22.75m,€569k,2010
524,Vålerenga,/valerenga-oslo/startseite/verein/76/saison_id/2010,"23,5",11,€14.65m,€523k,2010
525,Aalesund,/aalesunds-fk/startseite/verein/5619/saison_id/2010,"23,6",12,€13.08m,€396k,2010
526,Viking FK,/viking-stavanger/startseite/verein/239/saison_id/2010,"22,6",6,€12.38m,€442k,2010
527,Lillestrøm SK,/lillestrom-sk/startseite/verein/353/saison_id/2010,"22,3",13,€9.88m,€329k,2010
528,Strømsgodset,/stromsgodset-if/startseite/verein/2817/saison_id/2010,"21,4",5,€8.18m,€264k,2010
529,Haugesund,/fk-haugesund/startseite/verein/2761/saison_id/2010,"23,6",10,€5.35m,€184k,2010
530,Rosenborg BK,/rosenborg-trondheim/startseite/verein/195/saison_id/2011,"22,7",12,€24.18m,€780k,2011
531,Lillestrøm SK,/lillestrom-sk/startseite/verein/353/saison_id/2011,"24,4",12,€15.28m,€493k,2011
532,Vålerenga,/valerenga-oslo/startseite/verein/76/saison_id/2011,"22,5",13,€14.88m,€438k,2011
533,Molde FK,/molde-fk/startseite/verein/687/saison_id/2011,"22,7",9,€12.73m,€489k,2011
534,Viking FK,/viking-stavanger/startseite/verein/239/saison_id/2011,"22,5",9,€11.70m,€433k,2011
535,Aalesund,/aalesunds-fk/startseite/verein/5619/saison_id/2011,"22,8",10,€8.70m,€300k,2011
536,Haugesund,/fk-haugesund/startseite/verein/2761/saison_id/2011,"22,7",9,€8.13m,€290k,2011
537,Strømsgodset,/stromsgodset-if/startseite/verein/2817/saison_id/2011,"21,7",7,€7.00m,€226k,2011
538,Rosenborg BK,/rosenborg-trondheim/startseite/verein/195/saison_id/2012,"23,4",14,€26.38m,€754k,2012
539,Molde FK,/molde-fk/startseite/verein/687/saison_id/2012,"21,8",15,€23.80m,€553k,2012
540,Vålerenga,/valerenga-oslo/startseite/verein/76/saison_id/2012,"22,3",12,€19.35m,€509k,2012
541,Strømsgodset,/stromsgodset-if/startseite/verein/2817/saison_id/2012,"21,8",6,€12.83m,€377k,2012
542,Aalesund,/aalesunds-fk/startseite/verein/5619/saison_id/2012,"22,9",12,€12.13m,€328k,2012
543,Lillestrøm SK,/lillestrom-sk/startseite/verein/353/saison_id/2012,"24,0",8,€11.53m,€397k,2012
544,Viking FK,/viking-stavanger/startseite/verein/239/saison_id/2012,"23,5",13,€11.50m,€371k,2012
545,Haugesund,/fk-haugesund/startseite/verein/2761/saison_id/2012,"23,4",11,€11.25m,€375k,2012
546,Molde FK,/molde-fk/startseite/verein/687/saison_id/2013,"22,5",11,€25.55m,€691k,2013
547,Rosenborg BK,/rosenborg-trondheim/startseite/verein/195/saison_id/2013,"23,6",11,€23.15m,€798k,2013
548,Strømsgodset,/stromsgodset-if/startseite/verein/2817/saison_id/2013,"22,8",9,€14.50m,€403k,2013
549,Haugesund,/fk-haugesund/startseite/verein/2761/saison_id/2013,"24,1",9,€9.60m,€417k,2013
550,Aalesund,/aalesunds-fk/startseite/verein/5619/saison_id/2013,"22,8",8,€9.00m,€360k,2013
551,Vålerenga,/valerenga-oslo/startseite/verein/76/saison_id/2013,"23,0",8,€8.93m,€308k,2013
552,Viking FK,/viking-stavanger/startseite/verein/239/saison_id/2013,"22,4",7,€8.65m,€360k,2013
553,Lillestrøm SK,/lillestrom-sk/startseite/verein/353/saison_id/2013,"24,4",5,€7.08m,€337k,2013
554,Rosenborg BK,/rosenborg-trondheim/startseite/verein/195/saison_id/2014,"23,0",13,€20.93m,€654k,2014
555,Molde FK,/molde-fk/startseite/verein/687/saison_id/2014,"23,5",8,€20.70m,€690k,2014
556,Strømsgodset,/stromsgodset-if/startseite/verein/2817/saison_id/2014,"23,3",9,€16.60m,€503k,2014
557,Haugesund,/fk-haugesund/startseite/verein/2761/saison_id/2014,"23,5",14,€13.55m,€399k,2014
558,Aalesund,/aalesunds-fk/startseite/verein/5619/saison_id/2014,"22,2",9,€9.63m,€385k,2014
559,Viking FK,/viking-stavanger/startseite/verein/239/saison_id/2014,"23,7",11,€8.75m,€398k,2014
560,Vålerenga,/valerenga-oslo/startseite/verein/76/saison_id/2014,"23,8",5,€7.05m,€271k,2014
561,Lillestrøm SK,/lillestrom-sk/startseite/verein/353/saison_id/2014,"22,0",9,€4.03m,€155k,2014
562,Rosenborg BK,/rosenborg-trondheim/startseite/verein/195/saison_id/2015,"23,7",14,€22.85m,€672k,2015
563,Molde FK,/molde-fk/startseite/verein/687/saison_id/2015,"23,1",13,€18.80m,€508k,2015
564,Strømsgodset,/stromsgodset-if/startseite/verein/2817/saison_id/2015,"23,8",9,€16.55m,€460k,2015
565,Vålerenga,/valerenga-oslo/startseite/verein/76/saison_id/2015,"23,5",8,€8.73m,€336k,2015
566,Aalesund,/aalesunds-fk/startseite/verein/5619/saison_id/2015,"23,3",8,€6.73m,€306k,2015
567,Haugesund,/fk-haugesund/startseite/verein/2761/saison_id/2015,"21,7",9,€6.58m,€244k,2015
568,Viking FK,/viking-stavanger/startseite/verein/239/saison_id/2015,"22,1",10,€5.25m,€239k,2015
569,Lillestrøm SK,/lillestrom-sk/startseite/verein/353/saison_id/2015,"22,0",9,€4.58m,€191k,2015
570,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2010,"25,8",27,€19.45m,€442k,2010
571,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2010,"26,2",16,€18.50m,€638k,2010
572,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2010,"25,7",24,€15.08m,€377k,2010
573,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2010,"27,6",15,€14.28m,€510k,2010
574,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2010,"27,2",19,€13.18m,€454k,2010
575,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2010,"25,5",18,€9.43m,€314k,2010
576,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2010,"27,3",21,€6.15m,€192k,2010
577,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2011,"29,0",18,€18.95m,€677k,2011
578,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2011,"26,9",22,€18.85m,€539k,2011
579,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2011,"26,7",20,€17.40m,€580k,2011
580,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2011,"26,1",20,€14.90m,€514k,2011
581,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2011,"25,9",20,€11.35m,€405k,2011
582,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2011,"27,1",21,€9.20m,€329k,2011
583,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2011,"27,5",23,€8.40m,€255k,2011
584,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2012,"28,9",19,€23.40m,€807k,2012
585,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2012,"26,8",21,€16.45m,€514k,2012
586,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2012,"25,6",19,€15.95m,€532k,2012
587,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2012,"26,8",21,€13.98m,€466k,2012
588,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2012,"26,2",21,€12.20m,€407k,2012
589,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2012,"25,1",18,€12.08m,€345k,2012
590,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2012,"27,0",22,€7.30m,€228k,2012
591,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2013,"26,8",21,€20.75m,€576k,2013
592,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2013,"25,7",25,€13.40m,€432k,2013
593,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2013,"25,7",19,€13.15m,€376k,2013
594,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2013,"25,7",20,€11.00m,€355k,2013
595,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2013,"24,1",21,€10.50m,€269k,2013
596,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2013,"23,7",21,€10.38m,€259k,2013
597,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2013,"26,0",19,€5.80m,€176k,2013
598,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2014,"26,1",17,€19.85m,€567k,2014
599,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2014,"26,0",23,€14.75m,€434k,2014
600,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2014,"25,0",21,€13.20m,€347k,2014
601,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2014,"23,6",16,€12.00m,€400k,2014
602,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2014,"25,5",24,€10.80m,€348k,2014
603,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2014,"24,8",17,€7.38m,€205k,2014
604,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2014,"25,0",20,€3.15m,€98k,2014
605,APOEL Nicosia,/apoel-nikosia/startseite/verein/2784/saison_id/2015,"25,7",18,€19.63m,€503k,2015
606,Omonia Nikosia,/omonia-nikosia/startseite/verein/829/saison_id/2015,"25,8",24,€16.35m,€430k,2015
607,Apol. Limassol,/apollon-limassol/startseite/verein/429/saison_id/2015,"24,7",20,€16.28m,€452k,2015
608,Anorthosis,/anorthosis-famagusta/startseite/verein/3899/saison_id/2015,"24,1",19,€13.33m,€444k,2015
609,AEK Larnaca,/aek-larnaka/startseite/verein/2156/saison_id/2015,"25,5",19,€10.23m,€310k,2015
610,AEL Limassol,/ael-limassol/startseite/verein/786/saison_id/2015,"24,5",21,€8.03m,€229k,2015
611,Ethnikos,/ethnikos-achnas/startseite/verein/4590/saison_id/2015,"25,9",20,€3.98m,€137k,2015
612,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2010,"22,4",9,€13.98m,€358k,2010
613,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2010,"21,9",11,€11.30m,€231k,2010
614,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2010,"25,4",12,€7.20m,€180k,2010
615,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2010,"24,9",5,€6.33m,€181k,2010
616,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2010,"24,7",5,€5.33m,€157k,2010
617,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2010,"24,7",8,€5.15m,€147k,2010
618,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2010,"25,4",4,€5.10m,€176k,2010
619,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2010,"24,6",9,€5.03m,€136k,2010
620,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2011,"23,4",6,€21.98m,€523k,2011
621,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2011,"24,7",12,€12.33m,€257k,2011
622,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2011,"22,5",12,€11.95m,€266k,2011
623,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2011,"26,3",8,€9.70m,€323k,2011
624,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2011,"25,7",13,€8.33m,€238k,2011
625,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2011,"25,4",7,€7.83m,€237k,2011
626,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2011,"24,7",5,€6.40m,€221k,2011
627,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2011,"23,9",1,€5.88m,€190k,2011
628,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2012,"24,6",3,€23.65m,€657k,2012
629,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2012,"23,5",15,€18.63m,€405k,2012
630,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2012,"26,0",21,€10.35m,€220k,2012
631,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2012,"25,9",10,€9.50m,€216k,2012
632,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2012,"25,9",15,€8.20m,€191k,2012
633,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2012,"27,6",7,€8.10m,€312k,2012
634,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2012,"24,0",6,€7.90m,€226k,2012
635,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2012,"24,9",11,€6.93m,€223k,2012
636,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2013,"25,2",4,€23.70m,€741k,2013
637,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2013,"24,6",12,€13.25m,€390k,2013
638,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2013,"27,2",9,€9.05m,€292k,2013
639,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2013,"25,6",7,€7.80m,€269k,2013
640,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2013,"25,2",11,€7.25m,€227k,2013
641,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2013,"23,7",7,€6.85m,€201k,2013
642,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2013,"27,2",9,€5.95m,€198k,2013
643,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2013,"26,0",6,€2.93m,€146k,2013
644,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2014,"24,7",7,€22.63m,€665k,2014
645,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2014,"24,5",14,€16.50m,€485k,2014
646,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2014,"27,3",12,€10.60m,€312k,2014
647,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2014,"24,9",7,€6.88m,€181k,2014
648,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2014,"27,6",5,€5.55m,€231k,2014
649,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2014,"22,0",3,€4.80m,€155k,2014
650,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2014,"24,7",10,€4.75m,€140k,2014
651,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2014,"25,9",8,€4.03m,€144k,2014
652,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2015,"23,2",7,€20.03m,€435k,2015
653,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2015,"25,0",12,€14.45m,€352k,2015
654,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2015,"27,1",7,€9.10m,€276k,2015
655,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2015,"26,6",10,€8.88m,€222k,2015
656,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2015,"25,7",13,€7.45m,€186k,2015
657,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2015,"21,7",7,€5.40m,€154k,2015
658,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2015,"25,1",6,€4.25m,€129k,2015
659,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2015,"25,4",3,€3.98m,€133k,2015
660,Slo. Bratislava,/slovan-bratislava/startseite/verein/540/saison_id/2010,"23,9",8,€11.73m,€345k,2010
661,MSK Zilina,/msk-zilina/startseite/verein/1443/saison_id/2010,"23,9",12,€6.23m,€173k,2010
662,FK Senica,/fk-senica/startseite/verein/6163/saison_id/2010,"24,6",13,€5.00m,€161k,2010
663,Spartak Trnava,/spartak-trnava/startseite/verein/365/saison_id/2010,"23,1",10,€4.68m,€138k,2010
664,Ruzomberok,/mfk-ruzomberok/startseite/verein/7087/saison_id/2010,"23,6",7,€2.38m,€79k,2010
665,Zlate Moravce,/fc-zlate-moravce/startseite/verein/12005/saison_id/2010,"25,5",2,€825k,€31k,2010
666,Slo. Bratislava,/slovan-bratislava/startseite/verein/540/saison_id/2011,"24,6",10,€14.30m,€333k,2011
667,Spartak Trnava,/spartak-trnava/startseite/verein/365/saison_id/2011,"25,1",11,€8.70m,€218k,2011
668,MSK Zilina,/msk-zilina/startseite/verein/1443/saison_id/2011,"24,1",10,€8.23m,€242k,2011
669,FK Senica,/fk-senica/startseite/verein/6163/saison_id/2011,"24,3",19,€7.33m,€215k,2011
670,Ruzomberok,/mfk-ruzomberok/startseite/verein/7087/saison_id/2011,"23,6",10,€7.10m,€178k,2011
671,Zlate Moravce,/fc-zlate-moravce/startseite/verein/12005/saison_id/2011,"25,4",2,€4.05m,€135k,2011
672,Slo. Bratislava,/slovan-bratislava/startseite/verein/540/saison_id/2012,"23,6",8,€9.35m,€292k,2012
673,FK Senica,/fk-senica/startseite/verein/6163/saison_id/2012,"25,1",16,€8.48m,€257k,2012
674,Spartak Trnava,/spartak-trnava/startseite/verein/365/saison_id/2012,"26,1",9,€7.68m,€213k,2012
675,MSK Zilina,/msk-zilina/startseite/verein/1443/saison_id/2012,"22,8",8,€7.05m,€220k,2012
676,Zlate Moravce,/fc-zlate-moravce/startseite/verein/12005/saison_id/2012,"24,7",1,€3.98m,€142k,2012
677,Ruzomberok,/mfk-ruzomberok/startseite/verein/7087/saison_id/2012,"21,8",4,€2.25m,€83k,2012
678,Slo. Bratislava,/slovan-bratislava/startseite/verein/540/saison_id/2013,"22,7",9,€8.93m,€241k,2013
679,FK Senica,/fk-senica/startseite/verein/6163/saison_id/2013,"21,5",16,€7.13m,€162k,2013
680,MSK Zilina,/msk-zilina/startseite/verein/1443/saison_id/2013,"22,2",7,€6.10m,€169k,2013
681,Spartak Trnava,/spartak-trnava/startseite/verein/365/saison_id/2013,"24,8",7,€6.03m,€163k,2013
682,Ruzomberok,/mfk-ruzomberok/startseite/verein/7087/saison_id/2013,"22,2",5,€4.98m,€138k,2013
683,Zlate Moravce,/fc-zlate-moravce/startseite/verein/12005/saison_id/2013,"25,4",4,€3.68m,€123k,2013
684,Slo. Bratislava,/slovan-bratislava/startseite/verein/540/saison_id/2014,"23,8",9,€12.60m,€323k,2014
685,Spartak Trnava,/spartak-trnava/startseite/verein/365/saison_id/2014,"23,3",11,€8.23m,€201k,2014
686,Ruzomberok,/mfk-ruzomberok/startseite/verein/7087/saison_id/2014,"23,2",4,€7.75m,€189k,2014
687,FK Senica,/fk-senica/startseite/verein/6163/saison_id/2014,"21,6",6,€5.00m,€156k,2014
688,MSK Zilina,/msk-zilina/startseite/verein/1443/saison_id/2014,"21,3",4,€4.43m,€148k,2014
689,Zlate Moravce,/fc-zlate-moravce/startseite/verein/12005/saison_id/2014,"24,5",11,€4.40m,€122k,2014
690,Slo. Bratislava,/slovan-bratislava/startseite/verein/540/saison_id/2015,"23,3",16,€12.50m,€278k,2015
691,Spartak Trnava,/spartak-trnava/startseite/verein/365/saison_id/2015,"23,5",11,€8.48m,€207k,2015
692,MSK Zilina,/msk-zilina/startseite/verein/1443/saison_id/2015,"21,9",10,€8.00m,€222k,2015
693,Ruzomberok,/mfk-ruzomberok/startseite/verein/7087/saison_id/2015,"25,6",5,€5.78m,€193k,2015
694,Zlate Moravce,/fc-zlate-moravce/startseite/verein/12005/saison_id/2015,"24,0",23,€5.48m,€148k,2015
695,FK Senica,/fk-senica/startseite/verein/6163/saison_id/2015,"21,3",6,€4.13m,€109k,2015
