Country|Year|Team|Link|Value|Difference|Age|AbroadPlayers
Serbia|2011|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2011|€28.88m|€722k|22,1|12
Serbia|2011|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2011|€22.75m|€615k|22,2|14
Serbia|2011|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2011|€22.68m|€756k|23,8|8
Serbia|2011|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2011|€11.43m|€309k|21,2|4
Serbia|2011|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2011|€8.70m|€281k|22,1|2
Serbia|2012|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2012|€33.60m|€862k|22,7|8
Serbia|2012|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2012|€26.50m|€679k|21,1|11
Serbia|2012|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2012|€19.30m|€522k|22,7|14
Serbia|2012|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2012|€10.40m|€248k|20,1|3
Serbia|2012|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2012|€8.45m|€313k|23,0|3
Serbia|2013|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2013|€34.85m|€792k|23,0|8
Serbia|2013|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2013|€28.45m|€749k|23,3|10
Serbia|2013|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2013|€17.68m|€347k|21,9|16
Serbia|2013|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2013|€12.90m|€258k|21,4|9
Serbia|2013|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2013|€7.65m|€207k|22,3|6
Serbia|2014|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2014|€24.70m|€633k|23,3|8
Serbia|2014|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2014|€19.95m|€525k|23,3|7
Serbia|2014|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2014|€8.15m|€220k|21,9|8
Serbia|2014|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2014|€7.35m|€216k|22,4|7
Serbia|2014|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2014|€5.35m|€162k|21,7|3
Serbia|2015|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2015|€26.50m|€589k|23,0|12
Serbia|2015|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2015|€25.43m|€687k|24,2|14
Serbia|2015|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2015|€12.85m|€313k|23,6|7
Serbia|2015|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2015|€8.35m|€220k|23,0|5
Serbia|2015|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2015|€7.93m|€203k|24,4|2
Serbia|2016|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2016|€33.18m|€754k|24,0|13
Serbia|2016|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2016|€24.78m|€506k|23,5|12
Serbia|2016|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2016|€11.98m|€249k|22,7|11
Serbia|2016|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2016|€7.98m|€190k|24,2|6
Serbia|2016|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2016|€7.08m|€161k|22,7|9
Serbia|2017|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2017|€31.60m|€735k|24,0|10
Serbia|2017|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2017|€25.05m|€677k|24,4|10
Serbia|2017|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2017|€12.43m|€254k|22,1|15
Serbia|2017|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2017|€9.40m|€235k|23,7|9
Serbia|2017|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2017|€5.58m|€139k|21,2|8
Serbia|2018|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2018|€46.93m|€998k|24,3|15
Serbia|2018|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2018|€25.53m|€543k|23,4|10
Serbia|2018|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2018|€9.95m|€221k|21,5|10
Serbia|2018|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2018|€8.10m|€184k|24,0|6
Serbia|2018|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2018|€6.58m|€146k|22,4|9
Austria|2009|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2009|€40.35m|€1.26m|26,5|20
