Country|Year|Team|Link|Value|Difference|Age|AbroadPlayers
Czech Republic|2017|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2017|€23.95m|€773k|26,8|6
Czech Republic|2017|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2017|€17.33m|€403k|25,0|13
Czech Republic|2017|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2017|€11.98m|€324k|23,0|7
Czech Republic|2017|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2017|€11.10m|€336k|24,0|4
Czech Republic|2017|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2017|€10.90m|€303k|24,4|7
Czech Republic|2017|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2017|€6.10m|€218k|23,7|4
Czech Republic|2018|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2018|€42.83m|€973k|24,2|19
Czech Republic|2018|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2018|€40.70m|€904k|23,6|16
Czech Republic|2018|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2018|€32.60m|€836k|26,4|9
Czech Republic|2018|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2018|€16.00m|€364k|23,7|12
Czech Republic|2018|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2018|€13.50m|€422k|24,1|8
Czech Republic|2018|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2018|€12.10m|€295k|23,0|13
Czech Republic|2018|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2018|€8.93m|€229k|23,8|5
Czech Republic|2018|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2018|€8.13m|€239k|24,6|5
Poland|2009|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2009|€29.25m|€886k|24,3|11
Poland|2009|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2009|€28.73m|€898k|24,4|8
Poland|2009|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2009|€20.65m|€688k|23,5|13
Poland|2009|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2009|€9.65m|€261k|25,8|6
Poland|2009|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2009|€9.58m|€330k|24,3|4
Poland|2009|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2009|€7.75m|€209k|24,5|11
Poland|2009|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2009|€4.38m|€151k|25,5|5
Poland|2010|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2010|€30.13m|€861k|23,7|15
Poland|2010|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2010|€30.00m|€789k|25,1|18
Poland|2010|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2010|€26.53m|€780k|24,4|11
Poland|2010|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2010|€14.53m|€427k|25,5|8
Poland|2010|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2010|€12.58m|€419k|25,6|6
Poland|2010|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2010|€9.28m|€273k|23,3|13
Poland|2010|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2010|€8.75m|€313k|24,4|10
Poland|2011|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2011|€31.45m|€850k|24,2|15
Poland|2011|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2011|€26.03m|€929k|24,0|11
Poland|2011|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2011|€22.35m|€798k|25,2|16
Poland|2011|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2011|€14.13m|€456k|25,7|8
Poland|2011|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2011|€12.93m|€359k|23,6|14
Poland|2011|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2011|€11.20m|€329k|24,0|12
Poland|2011|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2011|€10.40m|€297k|24,3|6
Poland|2012|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2012|€20.23m|€632k|25,0|13
Poland|2012|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2012|€20.20m|€594k|24,6|9
Poland|2012|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2012|€19.30m|€772k|24,2|7
Poland|2012|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2012|€15.63m|€504k|24,2|10
Poland|2012|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2012|€9.53m|€238k|22,7|9
Poland|2012|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2012|€9.43m|€248k|24,4|8
Poland|2012|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2012|€9.30m|€266k|22,6|8
Poland|2013|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2013|€24.05m|€587k|23,4|13
Poland|2013|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2013|€17.05m|€501k|23,7|11
Poland|2013|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2013|€15.03m|€417k|24,7|14
Poland|2013|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2013|€11.83m|€311k|22,5|10
Poland|2013|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2013|€10.78m|€251k|21,9|11
Poland|2013|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2013|€10.45m|€249k|23,9|10
Poland|2013|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2013|€9.88m|€253k|22,8|7
Poland|2014|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2014|€23.55m|€604k|24,1|11
Poland|2014|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2014|€17.20m|€521k|23,3|15
Poland|2014|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2014|€17.20m|€430k|22,7|15
Poland|2014|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2014|€11.40m|€356k|23,5|9
Poland|2014|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2014|€11.30m|€323k|24,7|14
Poland|2014|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2014|€11.23m|€362k|24,8|11
Poland|2014|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2014|€8.55m|€199k|21,4|7
Poland|2015|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2015|€32.45m|€901k|25,4|11
Poland|2015|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2015|€23.90m|€683k|24,2|14
Poland|2015|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2015|€18.08m|€489k|24,0|14
Poland|2015|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2015|€13.40m|€327k|22,2|8
Poland|2015|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2015|€12.08m|€335k|24,1|9
Poland|2015|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2015|€11.18m|€360k|24,7|11
Poland|2015|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2015|€6.40m|€149k|23,5|11
Poland|2016|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2016|€43.38m|€904k|24,7|18
Poland|2016|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2016|€19.48m|€487k|25,0|16
Poland|2016|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2016|€17.15m|€440k|23,6|12
Poland|2016|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2016|€11.20m|€303k|24,6|11
Poland|2016|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2016|€10.18m|€275k|23,4|10
Poland|2016|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2016|€9.98m|€322k|25,4|15
Poland|2016|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2016|€8.40m|€191k|24,0|14
Poland|2017|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2017|€39.58m|€824k|25,1|21
Poland|2017|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2017|€18.10m|€453k|24,7|17
Poland|2017|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2017|€16.93m|€498k|24,9|18
Poland|2017|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2017|€16.58m|€448k|24,7|14
Poland|2017|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2017|€11.90m|€298k|24,5|19
Poland|2017|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2017|€9.45m|€270k|25,1|11
Poland|2017|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2017|€8.18m|€221k|24,4|20
Poland|2018|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2018|€34.73m|€789k|25,0|20
Poland|2018|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2018|€18.80m|€459k|23,6|15
Poland|2018|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2018|€15.43m|€343k|23,8|18
Poland|2018|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2018|€11.41m|€253k|23,1|11
Poland|2018|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2018|€11.28m|€313k|23,1|9
Poland|2018|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2018|€9.23m|€249k|24,4|7
Poland|2018|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2018|€8.35m|€226k|23,2|16
Romania|2009|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2009|€37.05m|€1.09m|26,4|22
Romania|2009|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2009|€29.78m|€876k|25,0|9
Romania|2010|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2010|€42.00m|€1.02m|25,5|25
Romania|2010|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2010|€32.68m|€797k|24,9|10
Romania|2011|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2011|€34.15m|€1.03m|26,8|23
Romania|2011|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2011|€25.03m|€736k|24,9|6
Romania|2012|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2012|€36.45m|€959k|26,6|26
Romania|2012|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2012|€23.48m|€652k|23,9|6
Romania|2013|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2013|€32.35m|€789k|25,1|24
Romania|2013|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2013|€24.88m|€529k|22,4|13
Romania|2014|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2014|€25.95m|€552k|23,0|13
Romania|2014|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2014|€18.05m|€392k|23,2|23
Romania|2015|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2015|€21.53m|€501k|23,0|16
Romania|2015|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2015|€13.98m|€437k|25,0|17
Romania|2016|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2016|€23.23m|€596k|24,3|17
Romania|2016|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2016|€14.08m|€380k|25,1|13
Romania|2017|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2017|€24.10m|€560k|24,0|17
Romania|2017|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2017|€19.85m|€536k|25,5|15
Romania|2018|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2018|€26.73m|€703k|26,0|16
Romania|2018|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2018|€21.20m|€393k|23,9|26
Greece|2009|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2009|€99.00m|€3.09m|24,8|14
Greece|2009|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2009|€94.20m|€2.69m|24,9|17
Greece|2009|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2009|€48.45m|€1.47m|25,9|21
Greece|2009|Panionios|/panionios-athen/startseite/verein/169/saison_id/2009|€26.10m|€669k|22,5|19
Greece|2009|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2009|€21.50m|€741k|24,7|15
Greece|2009|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2009|€21.00m|€700k|26,8|12
Greece|2010|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2010|€110.83m|€2.92m|24,7|23
Greece|2010|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2010|€99.55m|€2.77m|24,4|14
Greece|2010|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2010|€60.25m|€1.54m|25,4|22
Greece|2010|Panionios|/panionios-athen/startseite/verein/169/saison_id/2010|€32.58m|€905k|23,9|24
Greece|2010|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2010|€20.80m|€547k|24,3|21
Greece|2010|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2010|€19.85m|€684k|26,2|13
Greece|2011|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2011|€98.65m|€2.47m|25,4|25
Greece|2011|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2011|€74.10m|€2.06m|24,9|13
Greece|2011|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2011|€53.45m|€1.19m|24,2|20
Greece|2011|Panionios|/panionios-athen/startseite/verein/169/saison_id/2011|€23.50m|€480k|23,8|20
Greece|2011|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2011|€18.60m|€664k|24,6|9
Greece|2011|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2011|€18.10m|€489k|25,5|22
Greece|2012|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2012|€75.03m|€2.34m|25,1|15
Greece|2012|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2012|€44.60m|€1.14m|23,4|14
Greece|2012|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2012|€43.45m|€1.28m|24,5|16
Greece|2012|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2012|€20.45m|€705k|25,0|14
Greece|2012|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2012|€17.95m|€528k|25,5|20
Greece|2012|Panionios|/panionios-athen/startseite/verein/169/saison_id/2012|€8.93m|€241k|22,0|3
Greece|2013|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2013|€81.25m|€2.20m|25,0|23
Greece|2013|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2013|€78.10m|€1.53m|24,2|23
Greece|2013|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2013|€19.50m|€453k|23,8|19
Greece|2013|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2013|€19.40m|€588k|22,3|12
Greece|2013|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2013|€17.15m|€591k|25,5|7
Greece|2013|Panionios|/panionios-athen/startseite/verein/169/saison_id/2013|€9.55m|€308k|22,8|4
Greece|2014|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2014|€84.05m|€2.05m|24,0|24
Greece|2014|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2014|€44.98m|€1.36m|24,4|12
Greece|2014|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2014|€26.35m|€798k|23,9|12
Greece|2014|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2014|€19.20m|€468k|23,9|22
Greece|2014|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2014|€18.60m|€581k|26,1|11
Greece|2014|Panionios|/panionios-athen/startseite/verein/169/saison_id/2014|€8.58m|€232k|21,5|5
Greece|2015|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2015|€91.33m|€2.28m|23,6|22
Greece|2015|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2015|€44.45m|€1.06m|24,7|20
Greece|2015|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2015|€41.23m|€825k|22,7|17
Greece|2015|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2015|€20.63m|€557k|25,4|22
Greece|2015|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2015|€16.58m|€535k|25,9|16
Greece|2015|Panionios|/panionios-athen/startseite/verein/169/saison_id/2015|€11.03m|€356k|22,2|3
Greece|2016|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2016|€113.05m|€2.09m|24,3|32
Greece|2016|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2016|€54.48m|€1.07m|23,5|23
Greece|2016|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2016|€50.15m|€1.14m|24,5|24
Greece|2016|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2016|€17.95m|€460k|23,6|17
Greece|2016|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2016|€15.35m|€451k|25,9|11
Greece|2016|Panionios|/panionios-athen/startseite/verein/169/saison_id/2016|€15.35m|€415k|23,5|12
Greece|2017|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2017|€98.90m|€2.30m|24,3|25
Greece|2017|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2017|€64.05m|€1.60m|25,0|22
Greece|2017|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2017|€43.10m|€1.05m|23,6|18
Greece|2017|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2017|€13.23m|€348k|22,7|16
Greece|2017|Panionios|/panionios-athen/startseite/verein/169/saison_id/2017|€13.23m|€401k|24,0|13
Greece|2017|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2017|€12.83m|€414k|24,0|12
Greece|2018|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2018|€90.65m|€1.59m|23,3|27
Greece|2018|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2018|€86.95m|€1.61m|24,2|29
Greece|2018|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2018|€18.20m|€506k|23,3|12
Greece|2018|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2018|€17.33m|€413k|21,6|9
Greece|2018|Panionios|/panionios-athen/startseite/verein/169/saison_id/2018|€15.18m|€434k|24,6|20
Greece|2018|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2018|€14.20m|€346k|22,7|12
Israel|2009|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2009|€6.80m|€272k|23,4|3
Israel|2009|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2009|€6.68m|€267k|24,0|6
Israel|2009|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2009|€4.73m|€175k|22,9|8
Israel|2009|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2009|€2.50m|€69k|24,0|9
Israel|2009|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2009|€1.48m|€49k|24,7|8
Israel|2009|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2009|€775k|€28k|24,1|6
Israel|2010|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2010|€15.95m|€515k|24,5|6
Israel|2010|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2010|€15.48m|€595k|23,6|9
Israel|2010|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2010|€11.15m|€360k|24,2|6
Israel|2010|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2010|€5.83m|€216k|25,5|8
Israel|2010|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2010|€4.53m|€137k|23,9|7
Israel|2010|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2010|€3.38m|€147k|24,3|3
Israel|2011|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2011|€17.60m|€503k|22,8|10
Israel|2011|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2011|€11.50m|€348k|22,8|6
Israel|2011|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2011|€7.45m|€233k|24,3|6
Israel|2011|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2011|€7.05m|€235k|23,0|5
Israel|2011|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2011|€6.18m|€193k|23,6|9
Israel|2011|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2011|€3.25m|€125k|24,1|4
Israel|2012|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2012|€16.43m|€657k|24,8|6
Israel|2012|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2012|€12.83m|€428k|23,5|7
Israel|2012|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2012|€6.60m|€220k|23,1|5
Israel|2012|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2012|€6.48m|€209k|24,7|7
Israel|2012|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2012|€5.85m|€189k|23,6|7
Israel|2012|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2012|€5.78m|€186k|23,9|8
Israel|2013|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2013|€14.55m|€560k|25,5|6
Israel|2013|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2013|€13.48m|€408k|23,5|7
Israel|2013|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2013|€11.60m|€322k|23,9|9
Israel|2013|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2013|€9.65m|€371k|24,9|7
Israel|2013|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2013|€8.95m|€249k|24,9|8
Israel|2013|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2013|€5.90m|€184k|25,9|7
Israel|2014|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2014|€21.45m|€650k|27,2|9
Israel|2014|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2014|€17.50m|€625k|25,8|6
Israel|2014|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2014|€10.43m|€307k|25,2|7
Israel|2014|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2014|€10.10m|€348k|25,2|6
Israel|2014|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2014|€6.10m|€169k|24,9|8
Israel|2014|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2014|€5.25m|€135k|24,0|7
Israel|2015|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2015|€26.45m|€912k|26,7|8
Israel|2015|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2015|€20.70m|€627k|25,6|6
Israel|2015|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2015|€12.28m|€396k|24,8|6
Israel|2015|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2015|€11.33m|€453k|26,8|4
Israel|2015|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2015|€6.85m|€221k|25,2|7
Israel|2015|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2015|€4.53m|€156k|25,0|7
Israel|2016|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2016|€31.65m|€959k|26,3|11
Israel|2016|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2016|€17.80m|€445k|24,0|10
Israel|2016|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2016|€16.95m|€514k|25,3|7
Israel|2016|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2016|€14.25m|€419k|25,5|7
Israel|2016|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2016|€9.40m|€313k|25,3|6
Israel|2016|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2016|€7.03m|€242k|23,9|7
Israel|2017|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2017|€23.50m|€671k|24,5|8
Israel|2017|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2017|€16.15m|€577k|26,1|7
Israel|2017|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2017|€16.13m|€489k|26,3|7
Israel|2017|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2017|€14.80m|€435k|24,8|8
Israel|2017|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2017|€8.48m|€326k|26,0|6
Israel|2017|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2017|€6.90m|€216k|24,9|6
Israel|2018|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2018|€25.95m|€618k|26,7|10
Israel|2018|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2018|€18.23m|€588k|24,2|6
Israel|2018|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2018|€16.05m|€553k|25,9|9
Israel|2018|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2018|€15.43m|€376k|26,2|11
Israel|2018|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2018|€8.10m|€261k|25,1|7
Israel|2018|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2018|€8.10m|€279k|26,5|6
Bulgaria|2009|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2009|€8.28m|€207k|23,9|12
Bulgaria|2009|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2009|€4.78m|€136k|24,9|9
Bulgaria|2009|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2009|€4.15m|€109k|23,5|10
Bulgaria|2009|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2009|€3.33m|€101k|25,7|4
Bulgaria|2009|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2009|€375k|€10k|24,9|1
Bulgaria|2010|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2010|€14.13m|€362k|23,3|11
