StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
42.771 Seats|Stadion Miejski|35|€75k|€275k|€275k|€165k|+€110k
15.500 Seats|Suzuki Arena|37|€50k|€100k|€100k|€50k|+€50k
30.967 Seats|Stadion Miejski im. Marszałka Józefa Piłsudskiego|44|€500k|€275k|€275k|€1.93m|€-1.65m
42.837 Seats|Stadion Poznań|41|€1.00m|€800k|€1.25m|€1.43m|€-175k
22.432 Seats|Stadion Miejski|45|€550k|€2.00m|€3.86m|€1.11m|+€2.75m
33.130 Seats|Stadion Miejski im. Henryka Reymana|45|€125k|€550k|€1.11m|€178k|+€935k
43.615 Seats|Stadion Energa Gdańsk|36|Free transfer|€500k|€500k|0|+€500k
42.771 Seats|Stadion Miejski|37|€90k|€300k|€300k|€203k|+€98k
15.500 Seats|Suzuki Arena|37|€40k|€100k|€175k|€40k|+€135k
23.500 Seats|Dr. Constantin Rădulescu|34|€1.00m|€6.50m|€8.90m|€1.28m|+€7.62m
15.032 Seats|Dinamo|34|€150k|€600k|€2.20m|€150k|+€2.05m
23.500 Seats|Dr. Constantin Rădulescu|41|€900k|€6.00m|€11.70m|€3.53m|+€8.17m
15.032 Seats|Dinamo|41|€250k|€2.00m|€5.45m|€750k|+€4.70m
23.500 Seats|Dr. Constantin Rădulescu|34|€300k|€1.00m|€2.00m|€530k|+€1.47m
15.032 Seats|Dinamo|35|€700k|€5.00m|€5.74m|€2.05m|+€3.69m
23.500 Seats|Dr. Constantin Rădulescu|38|€800k|€3.50m|€9.70m|€2.00m|+€7.70m
15.032 Seats|Dinamo|36|€150k|€1.00m|€2.15m|€250k|+€1.90m
23.500 Seats|Dr. Constantin Rădulescu|43|€1.00m|€200k|€300k|€1.54m|€-1.24m
15.032 Seats|Dinamo|47|€1.10m|€1.60m|€2.10m|€1.30m|+€805k
15.032 Seats|Dinamo|47|€25k|€1.00m|€1.00m|€25k|+€975k
23.500 Seats|Dr. Constantin Rădulescu|46|€100k|€1.00m|€1.85m|€130k|+€1.72m
15.032 Seats|Dinamo|43|€180k|€200k|€450k|€215k|+€235k
23.500 Seats|Dr. Constantin Rădulescu|32|Free transfer|€500k|€1.00m|0|+€1.00m
15.032 Seats|Dinamo|39|€30k|€2.20m|€3.70m|€30k|+€3.67m
23.500 Seats|Dr. Constantin Rădulescu|37|Free transfer|€500k|€1.30m|0|+€1.30m
15.032 Seats|Dinamo|43|€50k|€700k|€2.65m|€50k|+€2.60m
23.500 Seats|Dr. Constantin Rădulescu|37|€1.00m|Free transfer|0|€2.80m|€-2.80m
23.500 Seats|Dr. Constantin Rădulescu|38|€20k|€2.50m|€2.50m|€20k|+€2.48m
15.032 Seats|Dinamo|54|€50k|€500k|€560k|€50k|+€510k
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|32|€8.00m|€1.50m|€3.95m|€16.15m|€-12.20m
32.115 Seats|Stadio Georgios Karaiskakis|35|€3.00m|€5.00m|€5.00m|€7.80m|€-2.80m
28.703 Seats|Toumba Stadium|33|€1.80m|€150k|€150k|€2.80m|€-2.65m
11.700 Seats|Stadio Neas Smyrnis|39|€150k|€860k|€940k|€735k|+€205k
7.423 Seats|Gipedo Theodoros Kolokotronis|29|€500k|Free transfer|0|€950k|€-950k
9.050 Seats|Stadio Peristeriou|30|€250k|€200k|€200k|€590k|€-390k
32.115 Seats|Stadio Georgios Karaiskakis|38|€6.00m|€2.00m|€5.00m|€13.60m|€-8.60m
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|36|€915k|€700k|€1.92m|€1.99m|€-75k
28.703 Seats|Toumba Stadium|39|€250k|Free transfer|0|€810k|€-810k
11.700 Seats|Stadio Neas Smyrnis|36|€120k|€1.20m|€1.59m|€120k|+€1.47m
7.423 Seats|Gipedo Theodoros Kolokotronis|38|€45k|€400k|€570k|€45k|+€525k
9.050 Seats|Stadio Peristeriou|29|Free transfer|€150k|€335k|0|+€335k
