GENERAL INFO;;;TEAM DETAILS;;;;;;;;;;;;;;DOMESTIC LEAGUE;;;;;;;;EUROPEAN CUPS;;;;;
year;Team;Link;Age;AbroadPlayers;Value;Difference;Year;Country;stadium_capacity;stadium_name;squad_size;top_arrival;top_departure;income_value;expenditure_values;overall_balance;Matches Played;Wins;Draws;Losses;Goals Scored;Goals Against;Goals balance;Points;Competition;D;L;P;W;STAGE
2010.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010;23,9;13;€48.95m;€1.32m;2010;Croatia;35.123 Seats;Maksimir;38;€1.50m;€7.00m;€8.01m;€3.80m;+€4.21m;30.0;22.0;6.0;2.0;52.0;12.0;40.0;72.0;UEFA Champions League;2;1;4;1;Third qualifying round
2011.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011;23,9;13;€50.80m;€1.45m;2011;Croatia;35.123 Seats;Maksimir;35;€1.45m;€300k;€420k;€4.75m;€-4.33m;30.0;23.0;6.0;1.0;73.0;11.0;62.0;75.0;UEFA Champions League;1;7;12;4;Group stage
2012.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2012;22,5;11;€48.70m;€1.32m;2012;Croatia;35.123 Seats;Maksimir;37;€2.40m;€11.00m;€20.00m;€4.10m;+€15.90m;33.0;24.0;5.0;4.0;68.0;20.0;48.0;77.0;UEFA Champions League;2;5;12;5;Group stage
2013.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2013;21,6;17;€43.90m;€770k;2013;Croatia;35.123 Seats;Maksimir;58;€1.60m;€5.00m;€15.78m;€4.32m;+€11.46m;36.0;26.0;6.0;4.0;83.0;26.0;57.0;84.0;UEFA Europa League;1;5;6;0;Group stage
2013.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2013;21,6;17;€43.90m;€770k;2013;Croatia;35.123 Seats;Maksimir;58;€1.60m;€5.00m;€15.78m;€4.32m;+€11.46m;36.0;26.0;6.0;4.0;83.0;26.0;57.0;84.0;UEFA Champions League;0;1;6;5;Play-off
2014.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014;23,2;19;€59.18m;€1.44m;2014;Croatia;35.123 Seats;Maksimir;41;€2.50m;€5.00m;€9.93m;€9.05m;+€880k;36.0;26.0;10.0;0.0;85.0;21.0;64.0;88.0;UEFA Europa League;0;4;8;4;Group stage
2014.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014;23,2;19;€59.18m;€1.44m;2014;Croatia;35.123 Seats;Maksimir;41;€2.50m;€5.00m;€9.93m;€9.05m;+€880k;36.0;26.0;10.0;0.0;85.0;21.0;64.0;88.0;UEFA Champions League;0;1;4;3;Third qualifying round
2015.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2015;21,8;19;€54.70m;€1.12m;2015;Croatia;35.123 Seats;Maksimir;49;€5.00m;€7.50m;€13.90m;€9.30m;+€4.61m;36.0;26.0;7.0;3.0;67.0;19.0;48.0;85.0;UEFA Champions League;3;5;12;4;Group stage
2010.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2010;21,8;3;€25.20m;€741k;2010;Croatia;34.183 Seats;Poljud;34;€150k;€5.00m;€9.64m;€150k;+€9.49m;30.0;16.0;7.0;7.0;54.0;32.0;22.0;55.0;UEFA Europa League;1;6;10;3;Group stage
2011.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2011;21,4;8;€29.48m;€602k;2011;Croatia;34.183 Seats;Poljud;49;€250k;€1.00m;€2.65m;€500k;+€2.15m;30.0;16.0;6.0;8.0;50.0;24.0;26.0;54.0;UEFA Europa League;0;2;2;0;Third qualifying round
